interval,probe1,probe2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_Text.started,Welcome_Text.stopped,Welcome_Response.keys,Welcome_Response.rt,Welcome_Response.started,Welcome_Response.stopped,Instructions_Text.started,Instructions_Text.stopped,Instructions_Response.keys,Instructions_Response.rt,Instructions_Response.started,Instructions_Response.stopped,Long_Tone1.started,Long_Tone1.stopped,Delay.started,Delay.stopped,ISI.started,ISI.stopped,Long_Tone2.started,Long_Tone2.stopped,Bandpass_Noise1.started,Bandpass_Noise1.stopped,Bandpass_Noise2.started,Bandpass_Noise2.stopped,Interval1.started,Interval1.stopped,Interval2.started,Interval2.stopped,Question_Text.started,Question_Text.stopped,Question_Response.keys,Question_Response.rt,Question_Response.started,Question_Response.stopped,Next_Text.started,Next_Text.stopped,Next_Response.keys,Next_Response.rt,Next_Response.started,Next_Response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,17.350023387931287,None,space,1.8427959061227739,17.350023387931287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_13_1408,BETA_001,3.1.2,59.988712761897595,
,,,,,,,,,,,,,19.5165494880639,None,space,1.5102458740584552,19.5165494880639,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_13_1408,BETA_001,3.1.2,59.988712761897595,
1,1,0,0,0,0,2,,,,,,,,,,,,,22.18298690300435,22.383062944049016,21.13359000091441,22.13305339193903,22.433103415882215,23.216307427035645,23.282876832876354,None,22.13305339193903,22.433103415882215,23.233130041044205,None,22.13305339193903,22.416400905000046,23.233130041044205,None,23.749912537867203,None,1,2.508099467959255,23.749912537867203,None,26.54954662802629,None,space,0.8334271968342364,26.54954662802629,None,,001,2020_Apr_13_1408,BETA_001,3.1.2,59.988712761897595,
1,1,0,0,1,1,4,,,,,,,,,,,,,28.466237392043695,28.66627816297114,27.399470201926306,28.399908708874136,28.716203327989206,29.49951585289091,29.566114508081228,29.76646082708612,28.416215423028916,28.733050148934126,29.516139931045473,29.79953129705973,28.416215423028916,28.69946454791352,29.516139931045473,29.79953129705973,30.08288585394621,None,1,1.8674676979426295,30.08288585394621,None,32.26646596798673,None,space,0.6178103720303625,32.26646596798673,None,,001,2020_Apr_13_1408,BETA_001,3.1.2,59.988712761897595,
1,1,0,0,2,2,0,,,,,,,,,,,,,33.98288148990832,34.183121361071244,32.91628908086568,33.91619255696423,34.232918753055856,35.016140568070114,35.08276327000931,35.28309272788465,33.932683711871505,34.232918753055856,35.03267108788714,35.31631523789838,33.932683711871505,34.21630025608465,35.03267108788714,35.31631523789838,35.599455158924684,None,1,0.4009105209261179,35.599455158924684,None,36.31646554986946,None,space,0.7302197681274265,36.31646554986946,None,,001,2020_Apr_13_1408,BETA_001,3.1.2,59.988712761897595,
2,0,1,0,3,3,1,,,,,,,,,,,,,38.13258250593208,38.332705507054925,37.06606838107109,38.06610781792551,38.38275885093026,39.16591591597535,39.232841327087954,39.43287819297984,38.082729703048244,38.39937636302784,39.182543037924916,39.466076362878084,38.082729703048244,38.36603578692302,39.182543037924916,39.466076362878084,39.749942881055176,None,2,1.3804638700094074,39.749942881055176,None,41.41627871803939,None,space,0.771653959993273,41.41627871803939,None,,001,2020_Apr_13_1408,BETA_001,3.1.2,59.988712761897595,
2,0,1,0,4,4,3,,,,,,,,,,,,,43.28278645290993,43.48276793793775,42.2161356410943,43.215979385888204,43.53269603801891,44.31615750002675,44.38306225487031,44.582764209015295,43.23276860592887,43.54936757404357,44.33261693897657,44.61596984299831,43.23276860592887,43.51584688806906,44.33261693897657,44.61596984299831,44.89959469786845,None,2,0.7420116038993001,44.89959469786845,None,45.93299113190733,None,space,0.5862697002012283,45.93299113190733,None,,001,2020_Apr_13_1408,BETA_001,3.1.2,59.988712761897595,
1,1,0,1,0,5,4,,,,,,,,,,,,,47.61593364505097,47.81607045093551,46.549342904938385,47.54936256306246,47.865920228883624,48.64911070698872,48.71597153600305,48.91595203988254,47.56593227991834,47.88254360691644,48.66590508702211,48.94932253891602,47.56593227991834,47.849368979921564,48.66590508702211,48.94932253891602,49.24949303409085,None,1,0.35230387188494205,49.24949303409085,None,49.91605493007228,None,space,0.5405817558057606,49.91605493007228,None,,001,2020_Apr_13_1408,BETA_001,3.1.2,59.988712761897595,
2,0,1,1,1,6,3,,,,,,,,,,,,,51.549251230899245,51.74932489497587,50.48253196803853,51.48339095409028,51.79928008909337,52.58266377495602,52.649268286069855,52.849376341095194,51.49923513899557,51.81703435909003,52.599083038046956,52.88274946506135,51.49923513899557,51.78270392399281,52.599083038046956,52.88274946506135,53.166099042864516,None,2,0.2717879079282284,53.166099042864516,None,53.73294789600186,None,space,0.7963346759788692,53.73294789600186,None,,001,2020_Apr_13_1408,BETA_001,3.1.2,59.988712761897595,
1,1,0,1,2,7,0,,,,,,,,,,,,,55.615956879919395,55.81592674204148,54.549130897037685,55.549263685010374,55.86598601588048,56.64927718299441,56.71595074189827,56.915910084033385,55.5657338029705,55.88263355894014,56.66588678909466,56.9494593879208,55.5657338029705,55.84910061303526,56.66588678909466,56.9494593879208,57.23266525589861,None,1,0.9415905750356615,57.23266525589861,None,58.465998895000666,None,space,0.5069085978902876,58.465998895000666,None,,001,2020_Apr_13_1408,BETA_001,3.1.2,59.988712761897595,
2,0,1,1,3,8,1,,,,,,,,,,,,,60.06566798896529,60.26591156190261,58.999200779013336,59.99918709998019,60.31617504893802,61.099038855871186,61.165736109018326,61.365722734015435,60.01606876892038,60.31617504893802,61.11591321299784,61.39918628009036,60.01606876892038,60.29919756599702,61.11591321299784,61.39918628009036,61.6825141380541,None,2,0.2943347990512848,61.6825141380541,None,62.26586173288524,None,space,0.5096776180434972,62.26586173288524,None,,001,2020_Apr_13_1408,BETA_001,3.1.2,59.988712761897595,
1,1,0,1,4,9,2,,,,,,,,,,,,,63.86574002308771,64.06607897207141,62.79902656888589,63.799060716992244,64.11559362104163,64.89920251793228,64.96568550099619,65.18242600094527,63.81585297593847,64.11559362104163,64.9157334449701,65.19905221299268,63.81585297593847,64.0990325040184,64.9157334449701,65.19905221299268,65.48259169096127,None,1,0.21789215109311044,65.48259169096127,None,65.99906602595001,None,space,0.5789966178126633,65.99906602595001,None,,001,2020_Apr_13_1408,BETA_001,3.1.2,59.988712761897595,
