interval,probe1,probe2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_Text.started,Welcome_Text.stopped,Welcome_Response.keys,Welcome_Response.rt,Welcome_Response.started,Welcome_Response.stopped,Instructions_Text.started,Instructions_Text.stopped,Instructions_Response.keys,Instructions_Response.rt,Instructions_Response.started,Instructions_Response.stopped,Long_Tone1.started,Long_Tone1.stopped,Delay.started,Delay.stopped,ISI.started,ISI.stopped,Long_Tone2.started,Long_Tone2.stopped,Bandpass_Noise1.started,Bandpass_Noise1.stopped,Bandpass_Noise2.started,Bandpass_Noise2.stopped,Interval1.started,Interval1.stopped,Interval2.started,Interval2.stopped,Question_Text.started,Question_Text.stopped,Question_Response.keys,Question_Response.rt,Question_Response.started,Question_Response.stopped,Feedback_text.started,Feedback_text.stopped,Next_Text.started,Next_Text.stopped,Next_Response.keys,Next_Response.rt,Next_Response.started,Next_Response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,10.472266820026562,None,space,0.5401606559753418,10.472266820026562,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_13_1548,BETA_002,3.1.2,60.13312093061231,
,,,,,,,,,,,,,11.322977395029739,None,space,0.38709762995131314,11.322977395029739,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_13_1548,BETA_002,3.1.2,60.13312093061231,
1,1,0,0,0,0,2,,,,,,,,,,,,,12.822230244986713,13.022087442921475,11.755272889975458,12.755316372960806,13.071844583144411,13.85521820303984,13.921895048115402,14.121931638102978,12.771971595939249,13.08856535400264,13.871959656011313,None,12.771971595939249,13.055196446133777,13.871959656011313,None,14.438696536934003,None,1,0.5562517449725419,14.438696536934003,None,15.02185967611149,None,16.305325482040644,None,space,0.748342685168609,16.305325482040644,None,,001,2020_Apr_13_1548,BETA_002,3.1.2,60.13312093061231,
2,0,1,0,1,1,1,,,,,,,,,,,,,18.138487149961293,18.338405339047313,17.07177083613351,18.07210194808431,18.388373424997553,19.171739666955546,19.238442918052897,19.43854568595998,18.088476150063798,18.405203511938453,19.188445412088186,19.471868930151686,18.088476150063798,18.371832181001082,19.188445412088186,19.471868930151686,19.771807118086144,None,2,0.5218828727956861,19.771807118086144,None,20.32169910799712,None,21.621772489044815,None,space,0.7869612590875477,21.621772489044815,None,,001,2020_Apr_13_1548,BETA_002,3.1.2,60.13312093061231,
1,1,0,0,2,2,0,,,,,,,,,,,,,23.50519209704362,23.704984382959083,22.43849555007182,23.43843373702839,23.75508073111996,24.538366975961253,24.605154178105295,24.805172007065266,23.455138640012592,23.771651863120496,24.555127921979874,24.838380257133394,23.455138640012592,23.738437277032062,24.555127921979874,24.838380257133394,25.13868465810083,None,1,0.3074783079791814,25.13868465810083,None,25.471631983993575,None,26.75538643496111,None,space,1.5594995508436114,26.75538643496111,None,,001,2020_Apr_13_1548,BETA_002,3.1.2,60.13312093061231,
1,1,0,0,3,3,4,,,,,,,,,,,,,29.40503392694518,29.604951506014913,28.338446808978915,29.338506703963503,29.655077069997787,30.43843982112594,30.50505941710435,30.705150139983743,29.35519061703235,29.671661518979818,30.45523137995042,30.738457709085196,29.35519061703235,29.63846129993908,30.45523137995042,30.738457709085196,31.038763049058616,None,2,0.4712855371180922,31.038763049058616,None,31.538330408977345,None,32.82183094811626,None,space,0.6005747381132096,32.82183094811626,None,,001,2020_Apr_13_1548,BETA_002,3.1.2,60.13312093061231,
2,0,1,0,4,4,3,,,,,,,,,,,,,34.521674311952665,34.72170654009096,33.45492040296085,34.45494911610149,34.77154975407757,35.55489914608188,35.621774557977915,35.821650627069175,34.47160723502748,34.7882672350388,35.571687682997435,35.85494698002003,34.47160723502748,34.754971734946594,35.571687682997435,35.85494698002003,36.1550261140801,None,1,0.42861420195549726,36.1550261140801,None,36.605004156939685,None,37.88844122597948,None,space,0.8327614679001272,37.88844122597948,None,,001,2020_Apr_13_1548,BETA_002,3.1.2,60.13312093061231,
2,0,1,1,0,5,3,,,,,,,,,,,,,39.804898735135794,40.00513355713338,38.738332325126976,39.738123760093,40.0547720361501,40.838244060985744,40.90494237700477,41.10508079594001,39.754921823041514,40.071456131991,40.85497042792849,41.138395578134805,39.754921823041514,40.03830547211692,40.85497042792849,41.138395578134805,41.438308062031865,None,2,0.5790761969983578,41.438308062031865,None,42.03816360794008,None,43.32161491597071,None,space,0.5296024410054088,43.32161491597071,None,,001,2020_Apr_13_1548,BETA_002,3.1.2,60.13312093061231,
1,1,0,1,1,6,2,,,,,,,,,,,,,44.93810858903453,45.13824817002751,43.871394264977425,44.8714288349729,45.18800999992527,45.97138834511861,46.038218369940296,46.238256718963385,44.88813673099503,45.18800999992527,45.98837908310816,46.27137545705773,44.88813673099503,45.171459103003144,45.98837908310816,46.27137545705773,46.571522569982335,None,1,1.2508816120680422,46.571522569982335,None,47.85478816810064,None,49.1381642811466,None,space,1.4517408160027117,49.1381642811466,None,,001,2020_Apr_13_1548,BETA_002,3.1.2,60.13312093061231,
1,1,0,1,2,7,0,,,,,,,,,,,,,51.68800192908384,51.88800390600227,50.62121432507411,51.62125964392908,51.93808225705288,52.72125779814087,52.78791800700128,52.98808663501404,51.63812115113251,51.93808225705288,52.738032991066575,53.021377922967076,51.63812115113251,51.921204074053094,52.738032991066575,53.021377922967076,53.32131763314828,None,1,2.3649019389413297,53.32131763314828,None,55.70451566413976,None,56.98807278298773,None,space,1.8031133580952883,56.98807278298773,None,,001,2020_Apr_13_1548,BETA_002,3.1.2,60.13312093061231,
,,,,,,,,,,,,,,,,,,,59.88787588197738,60.087883142055944,58.821105126990005,59.821238903095946,60.13808134314604,60.92120223492384,60.98795849294402,61.18800067692064,59.837955815019086,60.13808134314604,60.9379265839234,61.22128531103954,59.837955815019086,60.12125364714302,60.9379265839234,61.22128531103954,61.52129300497472,None,1,0.2623673358466476,61.52129300497472,None,,,,,,,,,,,,,,,
