interval,probe1,probe2,startProbe1,startProbe2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_Text.started,Welcome_Text.stopped,Welcome_Response.keys,Welcome_Response.rt,Welcome_Response.started,Welcome_Response.stopped,Instructions_Text.started,Instructions_Text.stopped,Instructions_Response.keys,Instructions_Response.rt,Instructions_Response.started,Instructions_Response.stopped,Long_Tone1.started,Long_Tone1.stopped,Delay.started,Delay.stopped,ISI.started,ISI.stopped,Long_Tone2.started,Long_Tone2.stopped,Bandpass_Noise1.started,Bandpass_Noise1.stopped,Bandpass_Noise2.started,Bandpass_Noise2.stopped,Interval1.started,Interval1.stopped,Interval2.started,Interval2.stopped,Question_Text.started,Question_Text.stopped,Question_Response.keys,Question_Response.rt,Question_Response.started,Question_Response.stopped,Feedback_text.started,Feedback_text.stopped,Next_Text.started,Next_Text.stopped,Next_Response.keys,Next_Response.rt,Next_Response.started,Next_Response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,14.95577229400078,None,space,10.078342007000174,14.95577229400078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_14_1504,BETA_003,3.1.2,59.96047201777675,
,,,,,,,,,,,,,,,25.379518449000898,None,space,0.29587850000098115,25.379518449000898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_14_1504,BETA_003,3.1.2,59.96047201777675,
2,0,1,0.0,0.2,0,0,0,3,,,,,,,,,,,,,26.76273287499862,26.7794574010004,25.712670916000206,26.712921489997825,27.012594001000252,27.812684913998964,27.862733115998708,28.062688993999473,26.712921489997825,27.029251908999868,27.812684913998964,28.129425237999385,26.712921489997825,27.012594001000252,27.812684913998964,28.112704115999804,28.429310057999828,None,2,0.46353702600026736,28.429310057999828,None,28.912447400998644,None,30.21268219799822,None,space,0.4801514910031983,30.21268219799822,None,,001,2020_Apr_14_1504,BETA_003,3.1.2,59.96047201777675,
1,1,0,0.2,0.0,0,1,1,2,,,,,,,,,,,,,31.77947883700108,31.979231191999133,30.7124642029994,31.712543453999388,32.02945707699837,32.81242829999974,32.87953063700115,32.895972098998755,31.729226254999958,32.04586686000039,32.829328544998134,33.14580868899793,31.729226254999958,32.012509813997895,32.829328544998134,33.11247733900018,33.44610264899893,None,1,0.34055823299786425,33.44610264899893,None,33.812440579000395,None,35.096139524001046,None,space,0.524228143000073,35.096139524001046,None,,001,2020_Apr_14_1504,BETA_003,3.1.2,59.96047201777675,
2,0,1,0.0,0.2,0,2,2,1,,,,,,,,,,,,,36.71259661300064,36.72915697699864,35.64573213699987,36.6458002319996,36.962407336999604,37.74578700100028,37.812618903997645,38.0126578169984,36.662467752998054,36.97923847199854,37.7625254759987,38.079109374000836,36.662467752998054,36.945727174999774,37.7625254759987,38.045734192000964,38.37955655599944,None,2,2.0332778969968786,38.37955655599944,None,40.44572477199836,None,41.7291832890005,None,space,0.23622553300083382,41.7291832890005,None,,001,2020_Apr_14_1504,BETA_003,3.1.2,59.96047201777675,
1,1,0,0.2,0.0,0,3,3,4,,,,,,,,,,,,,43.06246480099799,43.26258123400112,41.99567201199898,42.995704655000736,43.31234835799842,44.095814819000225,44.162641111000994,44.17914053899949,43.01245409200055,43.32912837999902,44.11246747699988,44.429025948000344,43.01245409200055,43.295865258998674,44.11246747699988,44.39565755899821,44.72903261600004,None,1,3.063825536999502,44.72903261600004,None,47.81231625199871,None,49.112597248000384,None,space,0.2328356839971093,49.112597248000384,None,,001,2020_Apr_14_1504,BETA_003,3.1.2,59.96047201777675,
1,1,0,0.2,0.0,0,4,4,0,,,,,,,,,,,,,50.429081333000795,50.62916175999999,49.36228356100037,50.36223108699778,50.679327072997694,51.46248977700088,51.52910932300074,51.545790006999596,50.37916021899946,50.69564830499803,51.47911921799823,51.795693994998146,50.37916021899946,50.66235280299952,51.47911921799823,51.76231824899878,52.095703252998646,None,1,0.2647104909992777,52.095703252998646,None,52.37919301199872,None,53.66233356799785,None,space,0.5317805780032359,53.66233356799785,None,,001,2020_Apr_14_1504,BETA_003,3.1.2,59.96047201777675,
1,1,0,0.2,0.0,1,0,5,2,,,,,,,,,,,,,55.27894537699831,55.47906953399797,54.21223073700094,55.2121514620012,55.52907474499807,56.3121818849977,56.37951504299781,56.39562184600072,55.22893571500026,55.54549101199882,56.32898703899991,56.64549648799948,55.22893571500026,55.51213182299762,56.32898703899991,56.612121792000835,56.94559930700052,None,1,3.0085367179999594,56.94559930700052,None,59.99596236599973,None,61.2624459059989,None,space,0.21042496099835262,61.2624459059989,None,,001,2020_Apr_14_1504,BETA_003,3.1.2,59.96047201777675,
2,0,1,0.0,0.2,1,1,6,3,,,,,,,,,,,,,62.56263156600107,62.57921016899854,61.49594528799935,62.4958646160012,62.8126437739993,63.595892622000974,63.66258469799868,63.86266508599874,62.512477365999075,62.82943761899878,63.61268182200001,63.92927652399885,62.512477365999075,62.79593558899796,63.61268182200001,63.895902688000206,64.2295494559985,None,2,0.2583152469997003,64.2295494559985,None,64.51254826700097,None,65.79590424200069,None,space,0.3457647539980826,65.79590424200069,None,,001,2020_Apr_14_1504,BETA_003,3.1.2,59.96047201777675,
2,0,1,0.0,0.2,1,2,7,1,,,,,,,,,,,,,67.22938387199974,67.24599308499819,66.16255121699942,67.16260443300052,67.47926017300051,68.2626341260002,68.32935976199951,68.52944145999936,67.17917655699785,67.49603744200067,68.27982806799992,68.59582275399953,67.17917655699785,67.46260949499992,68.27982806799992,68.5625591450007,68.89598353999827,None,2,3.748101843000768,68.89598353999827,None,72.6624387740012,None,73.94580332400074,None,space,0.2285268680025183,73.94580332400074,None,,001,2020_Apr_14_1504,BETA_003,3.1.2,59.96047201777675,
