condition,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,instructionsLightBulb1.started,instructionsLightBulb1.stopped,instructionsLightBulb2.started,instructionsLightBulb2.stopped,instructionsText.started,instructionsText.stopped,pressSpace.started,pressSpace.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instructionsLightBulb1_2.started,instructionsLightBulb1_2.stopped,instructionsLightBulb2_2.started,instructionsLightBulb2_2.stopped,instructionsText_2.started,instructionsText_2.stopped,pressSpace_2.started,pressSpace_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,instructionsLightBulb1_3.started,instructionsLightBulb1_3.stopped,instructionsLightBulb2_3.started,instructionsLightBulb2_3.stopped,text_3.started,text_3.stopped,pressSpace_3.started,pressSpace_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instructionsLightBulb1_4.started,instructionsLightBulb1_4.stopped,instructionsLightBulb2_4.started,instructionsLightBulb2_4.stopped,instructionsLightBulb1_5.started,instructionsLightBulb1_5.stopped,instructionsLightBulb2_5.started,instructionsLightBulb2_5.stopped,instructionsLightBulb2_6.started,instructionsLightBulb2_6.stopped,text_4.started,text_4.stopped,pressSpace_4.started,pressSpace_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,lightBulbOFF.started,lightBulbOFF.stopped,lightBulbON.started,lightBulbON.stopped,sound_1.started,sound_1.stopped,instructions_8_firstLine.started,instructions_8_firstLine.stopped,text_8.started,text_8.stopped,text_9.started,text_9.stopped,instructions_8_pressP.started,instructions_8_pressP.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_6.started,text_6.stopped,firstVisualStimulus_2.started,firstVisualStimulus_2.stopped,firstChoiceProbeTone_2.started,firstChoiceProbeTone_2.stopped,firstChoiceLeftStimulus_2.started,firstChoiceLeftStimulus_2.stopped,firstChoiceRightStimulus_2.started,firstChoiceRightStimulus_2.stopped,ISIVisualStimulus_3.started,ISIVisualStimulus_3.stopped,rightStimulus_3.started,rightStimulus_3.stopped,leftStimulus_3.started,leftStimulus_3.stopped,secondVisualStimulus_2.started,secondVisualStimulus_2.stopped,secondChoiceTone_2.started,secondChoiceTone_2.stopped,secondChoiceLeftStimulus_2.started,secondChoiceLeftStimulus_2.stopped,secondChoiceRightStimulus_2.started,secondChoiceRightStimulus_2.stopped,decisionTextProbe_2.started,decisionTextProbe_2.stopped,decisionKey_2.keys,decisionKey_2.corr,decisionKey_2.rt,decisionKey_2.started,decisionKey_2.stopped,feedbackText_2.started,feedbackText_2.stopped,participant,Session,Tone Length,Condition,level,date,expName,psychopyVersion,frameRate,
,,,,,14.752233599999272,None,space,1.0401833999994778,14.752233599999272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1309,toneDetectionPlatform_V1.6,2020.2.4,60.178465256381934,
,,,,,,,,,,,15.908021599999302,None,15.908021599999302,None,15.908021599999302,None,15.908021599999302,None,space,0.48428470000089874,15.908021599999302,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1309,toneDetectionPlatform_V1.6,2020.2.4,60.178465256381934,
,,,,,,,,,,,,,,,,,,,,,,,16.477334100000007,None,16.477334100000007,None,16.477334100000007,None,16.477334100000007,None,space,0.332786699999815,16.477334100000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1309,toneDetectionPlatform_V1.6,2020.2.4,60.178465256381934,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.887696499999947,None,16.887696499999947,None,16.887696499999947,None,16.887696499999947,None,space,0.27641570000014326,16.887696499999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1309,toneDetectionPlatform_V1.6,2020.2.4,60.178465256381934,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.244517899999664,None,17.244517899999664,None,18.258801399999356,None,18.258801399999356,21.267650399999184,21.167656099999476,None,18.258801399999356,None,22.168457299999318,None,space,1.4432086000006166,22.168457299999318,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1309,toneDetectionPlatform_V1.6,2020.2.4,60.178465256381934,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.63654469999983,None,25.622560499999963,None,space,1.4503310000000056,25.622560499999963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1309,toneDetectionPlatform_V1.6,2020.2.4,60.178465256381934,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.09006959999988,29.092051299999184,29.076468699999168,None,29.07536694999999,None,30.076443299999482,None,32.061954399999195,None,34.04706420000002,None,36.048874799999794,None,p,1.4463290000003326,36.048874799999794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1309,toneDetectionPlatform_V1.6,2020.2.4,60.178465256381934,
1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.559207599999354,None,40.594537999999375,None,40.53675104999911,None,40.594537999999375,None,40.594537999999375,None,40.98355399999946,None,40.98355399999946,None,40.98355399999946,None,43.994438400000035,None,43.923894149999796,43.994438400000035,43.994438400000035,None,43.994438400000035,None,44.32417669999995,None,1,1,0.9399007000001802,44.32417669999995,None,45.29232879999927,None,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1309,toneDetectionPlatform_V1.6,2020.2.4,60.178465256381934,
2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.29263269999956,None,49.29547849999926,None,49.29547674999958,49.29547849999926,49.29547849999926,None,49.29547849999926,None,49.629069999999956,None,49.629069999999956,None,49.629069999999956,None,52.63326999999936,None,52.63236794999921,52.832554299999174,52.63326999999936,None,52.63326999999936,None,52.96615049999946,None,2,1,0.5762741999997161,52.96615049999946,None,53.56660119999924,None,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1309,toneDetectionPlatform_V1.6,2020.2.4,60.178465256381934,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5674326999997,None,57.570566499999586,None,57.57068084999992,None,57.570566499999586,None,57.570566499999586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
