instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_10.started,text_10.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,firstITI.started,firstITI.stopped,trials.label,trials.startVal,trials.startValSd,trials.pThreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.range,trials.minVal,trials.maxVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,participant,Session,Tone Length,Condition,calibration,date,expName,psychopyVersion,frameRate,
,,,,,,,,33.14095019999877,None,space,2.0003754000008485,33.14095019999877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,35.20412789999864,None,c,1.2117314000006445,35.20412789999864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,36.43501219999962,None,b,1.1008342000004632,36.43501219999962,None,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,37.55278679999901,None,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,1,0,start,4,lin,40,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,2,1,start,4,lin,37.22098293662315,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,3,2,start,4,lin,32.7442301780138,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,4,3,start,4,lin,29.013639769714185,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,5,4,start,4,lin,25.864511789777335,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,6,5,start,4,lin,23.190950279549792,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,7,6,start,4,lin,20.92081878945191,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,40,25,0.63,3.5,0.01,0.5,0.01,60,0,60,0,8,7,start,4,lin,18.996970823701933,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1430,toneDetectionPlatform_V1.6,2020.2.4,59.96800107487632,
