instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_10.started,text_10.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,firstITI.started,firstITI.stopped,trials.label,trials.startVal,trials.startValSd,trials.pThreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.range,trials.minVal,trials.maxVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,participant,Session,Tone Length,Condition,calibration,date,expName,psychopyVersion,frameRate,
,,,,,,,,10.821427199998652,None,space,0.5525374000008014,10.821427199998652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1509,toneDetectionPlatform_V1.6,2020.2.4,59.942048028061,
,,,,,,,,,,,,,,11.42338159999963,None,c,0.7033589999991818,11.42338159999963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1509,toneDetectionPlatform_V1.6,2020.2.4,59.942048028061,
,,,,,,,,,,,,,,,,,,,,12.143801299998813,None,b,0.8206473999998707,12.143801299998813,None,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1509,toneDetectionPlatform_V1.6,2020.2.4,59.942048028061,
,,,,,,,,,,,,,,,,,,,,,,,,,,12.995665499998722,None,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,1,0,start,4,lin,30,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1509,toneDetectionPlatform_V1.6,2020.2.4,59.942048028061,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,2,1,start,4,lin,26.749378204770803,0,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1509,toneDetectionPlatform_V1.6,2020.2.4,59.942048028061,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,3,2,start,4,lin,43.978735483254766,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1509,toneDetectionPlatform_V1.6,2020.2.4,59.942048028061,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,4,3,start,4,lin,39.58178991179243,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1509,toneDetectionPlatform_V1.6,2020.2.4,59.942048028061,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,5,4,start,4,lin,36.13468969949244,0,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1509,toneDetectionPlatform_V1.6,2020.2.4,59.942048028061,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,6,5,start,4,lin,43.56069111779243,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1509,toneDetectionPlatform_V1.6,2020.2.4,59.942048028061,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,7,6,start,4,lin,41.22210329261158,0,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1509,toneDetectionPlatform_V1.6,2020.2.4,59.942048028061,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,8,7,start,4,lin,48.578079469178945,0,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1509,toneDetectionPlatform_V1.6,2020.2.4,59.942048028061,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,9,8,start,4,lin,55.056841175082525,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1509,toneDetectionPlatform_V1.6,2020.2.4,59.942048028061,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,10,9,start,4,lin,53.63125138118146,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1509,toneDetectionPlatform_V1.6,2020.2.4,59.942048028061,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,11,10,start,4,lin,52.50862672166335,1,,1,Short,Quiet,0.8912509381337447,2020_Nov_02_1509,toneDetectionPlatform_V1.6,2020.2.4,59.942048028061,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,30,50,0.63,3.5,0.01,0.5,0.01,60,0,60,0,12,11,start,4,lin,51.62368649849481,1,,,,,,,,,,
