instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceCompleteLoop.thisRepN,practiceCompleteLoop.thisTrialN,practiceCompleteLoop.thisN,practiceCompleteLoop.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,firstITI.started,firstITI.stopped,text_10.started,text_10.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,trials.label,trials.startVal,trials.startValSd,trials.pThreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.range,trials.minVal,trials.maxVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,Participant,Session,Tone Length,Condition,Calibration,Practice,Instructions,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,29.622350334000657,None,space,1.1146610309988318,29.622350334000657,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,No,No,2020_Nov_04_1123,toneDetectionPlatform_V1.7,2020.2.5,60.01593086850656,
,,,,,,,,,,,,,,,,,,30.78599739299898,None,35.802869955998176,None,b,33.79167761099961,35.802869955998176,None,,,,,,,,,,,,,,,,,,,,,1,Short,Quiet,0.8912509381337447,No,No,2020_Nov_04_1123,toneDetectionPlatform_V1.7,2020.2.5,60.01593086850656,
,,,,,,,,,,,,,,,,,,69.61559444399973,None,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,1,0,start,4,lin,80,1,,1,Short,Quiet,0.8912509381337447,No,No,2020_Nov_04_1123,toneDetectionPlatform_V1.7,2020.2.5,60.01593086850656,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,2,1,start,4,lin,61.555998968509456,1,,1,Short,Quiet,0.8912509381337447,No,No,2020_Nov_04_1123,toneDetectionPlatform_V1.7,2020.2.5,60.01593086850656,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,3,2,start,4,lin,49.73422800560533,0,,1,Short,Quiet,0.8912509381337447,No,No,2020_Nov_04_1123,toneDetectionPlatform_V1.7,2020.2.5,60.01593086850656,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,4,3,start,4,lin,56.18164908497858,1,,1,Short,Quiet,0.8912509381337447,No,No,2020_Nov_04_1123,toneDetectionPlatform_V1.7,2020.2.5,60.01593086850656,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,5,4,start,4,lin,53.126633930517,1,,1,Short,Quiet,0.8912509381337447,No,No,2020_Nov_04_1123,toneDetectionPlatform_V1.7,2020.2.5,60.01593086850656,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,6,5,start,4,lin,51.48693887593194,1,,1,Short,Quiet,0.8912509381337447,No,No,2020_Nov_04_1123,toneDetectionPlatform_V1.7,2020.2.5,60.01593086850656,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,7,6,start,4,lin,50.627778557701504,1,,1,Short,Quiet,0.8912509381337447,No,No,2020_Nov_04_1123,toneDetectionPlatform_V1.7,2020.2.5,60.01593086850656,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,8,7,start,4,lin,50.181345448632825,1,,1,Short,Quiet,0.8912509381337447,No,No,2020_Nov_04_1123,toneDetectionPlatform_V1.7,2020.2.5,60.01593086850656,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,9,8,start,4,lin,49.93240178127971,1,,1,Short,Quiet,0.8912509381337447,No,No,2020_Nov_04_1123,toneDetectionPlatform_V1.7,2020.2.5,60.01593086850656,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,10,9,start,4,lin,49.74519095152944,1,,1,Short,Quiet,0.8912509381337447,No,No,2020_Nov_04_1123,toneDetectionPlatform_V1.7,2020.2.5,60.01593086850656,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,11,10,start,4,lin,46.22868476220225,1,,1,Short,Quiet,0.8912509381337447,No,No,2020_Nov_04_1123,toneDetectionPlatform_V1.7,2020.2.5,60.01593086850656,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,12,11,start,4,lin,39.53592997925094,1,,1,Short,Quiet,0.8912509381337447,No,No,2020_Nov_04_1123,toneDetectionPlatform_V1.7,2020.2.5,60.01593086850656,
