instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceCompleteLoop.thisRepN,practiceCompleteLoop.thisTrialN,practiceCompleteLoop.thisN,practiceCompleteLoop.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,firstITI.started,firstITI.stopped,text_10.started,text_10.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,trials.label,trials.startVal,trials.startValSd,trials.pThreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.range,trials.minVal,trials.maxVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,Trial,Psychopy_input_value,Desired_dB,Condition,Response_time,Accuracy,text_11.started,text_11.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,Participant,Session,Condition,Calibration,Practice,Instructions,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,25.375276145001408,None,space,0.5794033019992639,25.375276145001408,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiet,,,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,25.973670489998767,None,30.990118867001,None,b,1.3096639909999794,30.990118867001,None,,,,,,,,,,,,,,,,,,,,,,,Quiet,,,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,32.32319933100007,None,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,1,0,start,4,lin,80,1,1,0.01258925411794167,80.0,Quiet,0.37473467599920696,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,2,1,start,4,lin,61.555998968509456,1,2,0.0015059132288911036,61.555998968509456,Quiet,0.31054558899995754,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,3,2,start,4,lin,49.73422800560533,1,3,0.0003861103116690461,49.73422800560533,Quiet,0.5104732729996613,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,4,3,start,4,lin,41.820302374026156,1,4,0.00015524410527447668,41.820302374026156,Quiet,0.509953807999409,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,5,4,start,4,lin,36.74375157993622,1,5,8.653415934721939e-05,36.74375157993622,Quiet,2.461963140998705,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,6,5,start,4,lin,33.695010623041235,0,6,6.091868656171759e-05,33.695010623041235,Quiet,0.573312476000865,0,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,7,6,start,4,lin,35.352707445001634,1,7,7.37284955760704e-05,35.352707445001634,Quiet,0.2527681069987011,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,8,7,start,4,lin,34.598587281678256,1,8,6.759730226781044e-05,34.598587281678256,Quiet,1.1604904960004205,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,9,8,start,4,lin,34.20686764346295,1,9,6.461649281856862e-05,34.20686764346295,Quiet,2.299357225998392,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,10,9,start,4,lin,33.996552012153195,1,10,6.307069266647591e-05,33.996552012153195,Quiet,0.3744632769994496,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,11,10,start,4,lin,33.86980637032269,0,11,6.21570391277157e-05,33.86980637032269,Quiet,0.3720796669986157,0,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,12,11,start,4,lin,33.991067919966575,1,12,6.303088369609442e-05,33.991067919966575,Quiet,0.43171832599909976,1,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,13,12,start,4,lin,33.93705762123017,0,13,6.264016327469801e-05,33.93705762123017,Quiet,3.67013559499901,0,,,,,,,,1,Quiet,0.8912509381337447,No,No,2020_Nov_04_1141,toneDetectionPlatform_V1.7,2020.2.5,60.036347686028016,
