condition,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceCompleteLoop.thisRepN,practiceCompleteLoop.thisTrialN,practiceCompleteLoop.thisN,practiceCompleteLoop.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,instructionsLightBulb1.started,instructionsLightBulb1.stopped,instructionsLightBulb2.started,instructionsLightBulb2.stopped,instructionsText.started,instructionsText.stopped,pressSpace.started,pressSpace.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instructionsLightBulb1_2.started,instructionsLightBulb1_2.stopped,instructionsLightBulb2_2.started,instructionsLightBulb2_2.stopped,instructionsText_2.started,instructionsText_2.stopped,pressSpace_2.started,pressSpace_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,instructionsLightBulb1_3.started,instructionsLightBulb1_3.stopped,instructionsLightBulb2_3.started,instructionsLightBulb2_3.stopped,text_3.started,text_3.stopped,pressSpace_3.started,pressSpace_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instructionsLightBulb1_4.started,instructionsLightBulb1_4.stopped,instructionsLightBulb2_4.started,instructionsLightBulb2_4.stopped,instructionsLightBulb1_5.started,instructionsLightBulb1_5.stopped,instructionsLightBulb2_5.started,instructionsLightBulb2_5.stopped,instructionsLightBulb2_6.started,instructionsLightBulb2_6.stopped,text_4.started,text_4.stopped,pressSpace_4.started,pressSpace_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,lightBulbOFF.started,lightBulbOFF.stopped,lightBulbON.started,lightBulbON.stopped,sound_1.started,sound_1.stopped,instructions_8_firstLine.started,instructions_8_firstLine.stopped,text_8.started,text_8.stopped,text_9.started,text_9.stopped,instructions_8_pressP.started,instructions_8_pressP.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,firstITI.started,firstITI.stopped,text_6.started,text_6.stopped,firstChoiceProbeTone_2.started,firstChoiceProbeTone_2.stopped,firstChoice_Noise.started,firstChoice_Noise.stopped,firstVisualStimulus_2.started,firstVisualStimulus_2.stopped,firstChoiceLeftStimulus_2.started,firstChoiceLeftStimulus_2.stopped,firstChoiceRightStimulus_2.started,firstChoiceRightStimulus_2.stopped,ISIVisualStimulus_3.started,ISIVisualStimulus_3.stopped,rightStimulus_3.started,rightStimulus_3.stopped,leftStimulus_3.started,leftStimulus_3.stopped,secondChoiceTone_2.started,secondChoiceTone_2.stopped,secondChoice_Noise.started,secondChoice_Noise.stopped,secondVisualStimulus_2.started,secondVisualStimulus_2.stopped,secondChoiceLeftStimulus_2.started,secondChoiceLeftStimulus_2.stopped,secondChoiceRightStimulus_2.started,secondChoiceRightStimulus_2.stopped,decisionTextProbe_2.started,decisionTextProbe_2.stopped,decisionKey_2.keys,decisionKey_2.corr,decisionKey_2.rt,decisionKey_2.started,decisionKey_2.stopped,Trial,Psychopy_input_value,Desired_dB,Condition,trialType,Response_time,Accuracy,feedbackText_2.started,feedbackText_2.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_10.started,text_10.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,trials.label,trials.startVal,trials.startValSd,trials.pThreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.range,trials.minVal,trials.maxVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,Participant,Session,Condition,Calibration,Practice,Instructions,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,16.946644600015134,None,space,1.9325803999090567,16.946644600015134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Quiet,0.8912509381337447,Yes,Yes,2020_Nov_09_1542,toneDetectionPlatform_V1.8,2020.2.4,59.916979057329485,
,0,0,0,0,,,,,,,,,,,,,,,18.97115220001433,None,18.97115220001433,None,18.97115220001433,None,18.97115220001433,None,space,0.6040245000040159,18.97115220001433,None,19.64881120005157,None,19.64881120005157,None,19.64881120005157,None,19.64881120005157,None,space,0.40775439993012697,19.64881120005157,None,20.13039269996807,None,20.13039269996807,None,20.13039269996807,None,20.13039269996807,None,space,0.42252759996335953,20.13039269996807,None,20.612201699987054,None,20.612201699987054,None,21.628016600036062,None,21.628016600036062,24.640254999976605,24.556734599987976,None,21.628016600036062,None,25.55809710000176,None,space,0.5944346999749541,25.55809710000176,None,26.1752739000367,None,28.160724599962123,None,space,2.6471769000636414,28.160724599962123,None,30.830013600061648,32.832006599986926,32.81506030005403,None,32.81525424998254,None,33.81640690006316,None,35.80129620002117,None,37.80360910005402,None,39.78885680006351,None,p,1.8294603000395,39.78885680006351,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Quiet,0.8912509381337447,Yes,Yes,2020_Nov_09_1542,toneDetectionPlatform_V1.8,2020.2.4,59.916979057329485,
1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.64071149996016,None,46.7560247000074,None,50.082371249957944,50.282922900049016,50.082371249957944,None,50.08283259999007,None,50.08283259999007,None,50.08283259999007,None,50.46024869999383,None,50.46024869999383,None,50.46024869999383,None,53.869625449925664,53.911719499970786,53.869625449925664,54.20318800001405,53.911719499970786,None,53.911719499970786,None,53.911719499970786,None,54.236496299970895,None,1,1,0.2534020999446511,54.236496299970895,None,0,0.01258925411794167,80,Quiet,Practice,0.2534020999446511,1,54.519900499959476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Quiet,0.8912509381337447,Yes,Yes,2020_Nov_09_1542,toneDetectionPlatform_V1.8,2020.2.4,59.916979057329485,
2,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.521417499985546,None,58.941530399979094,58.934980800026096,58.941530399979094,None,58.934980800026096,59.25831089995336,58.934980800026096,59.25831089995336,58.934980800026096,59.25831089995336,59.27499820000958,None,59.27499820000958,None,59.27499820000958,None,62.716141050006264,62.92881920002401,62.716141050006264,None,62.71170860005077,None,62.71170860005077,None,62.71170860005077,None,63.045301000005566,None,2,1,0.3079620999051258,63.045301000005566,None,1,0.01258925411794167,80,Quiet,Practice,0.3079620999051258,1,63.37899140000809,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Quiet,0.8912509381337447,Yes,Yes,2020_Nov_09_1542,toneDetectionPlatform_V1.8,2020.2.4,59.916979057329485,
1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.37986220000312,None,67.81504385001026,68.01724499999546,67.81504385001026,None,67.81761689996347,None,67.81761689996347,None,67.81761689996347,None,68.1506271000253,None,68.1506271000253,None,68.1506271000253,None,71.57081109997816,71.56379709998146,71.57081109997816,None,71.56379709998146,71.88775690004695,71.56379709998146,71.88775690004695,71.56379709998146,71.88775690004695,71.90409239998553,None,1,1,1.3204919999698177,71.90409239998553,None,2,0.01258925411794167,80,Quiet,Practice,1.3204919999698177,1,73.25571429997217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Quiet,0.8912509381337447,Yes,Yes,2020_Nov_09_1542,toneDetectionPlatform_V1.8,2020.2.4,59.916979057329485,
2,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.25655910000205,None,77.69319194999989,77.69331820006482,77.69319194999989,None,77.69331820006482,None,77.69331820006482,None,77.69331820006482,None,78.02698009996675,None,78.02698009996675,None,78.02698009996675,None,81.46016094998922,81.66405290004332,81.46016094998922,81.78078200004529,81.4626755999634,None,81.4626755999634,None,81.4626755999634,None,81.79761480004527,None,2,1,0.21440449997317046,81.79761480004527,None,3,0.01258925411794167,80,Quiet,Practice,0.21440449997317046,1,82.0309931000229,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Quiet,0.8912509381337447,Yes,Yes,2020_Nov_09_1542,toneDetectionPlatform_V1.8,2020.2.4,59.916979057329485,
1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.03232500003651,None,86.45234240000136,86.65252310002688,86.45234240000136,None,86.44557390001137,86.7691900000209,86.44557390001137,86.7691900000209,86.44557390001137,86.7691900000209,86.78592649998609,None,86.78592649998609,None,86.78592649998609,None,90.22176915002055,90.22277270001359,90.22176915002055,None,90.22277270001359,None,90.22277270001359,None,90.22277270001359,None,90.55613819998689,None,1,1,0.21080939995590597,90.55613819998689,None,4,0.01258925411794167,80,Quiet,Practice,0.21080939995590597,1,90.78997150005307,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Quiet,0.8912509381337447,Yes,Yes,2020_Nov_09_1542,toneDetectionPlatform_V1.8,2020.2.4,59.916979057329485,
2,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.79098849999718,None,95.22773854997939,95.22092240001075,95.22773854997939,None,95.22092240001075,95.54457240004558,95.22092240001075,95.54457240004558,95.22092240001075,95.54457240004558,95.56134550005663,None,95.56134550005663,None,95.56134550005663,None,98.981517300033,99.18168739997782,98.981517300033,None,98.97623819997534,99.29854180000257,98.97623819997534,99.29854180000257,98.97623819997534,99.29854180000257,99.31528350000735,None,2,1,0.7880329999607056,99.31528350000735,None,5,0.01258925411794167,80,Quiet,Practice,0.7880329999607056,1,100.13267660001293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Quiet,0.8912509381337447,Yes,Yes,2020_Nov_09_1542,toneDetectionPlatform_V1.8,2020.2.4,59.916979057329485,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiet,,,,,,101.1334914000472,None,c,2.0940609999233857,101.1334914000472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Quiet,0.8912509381337447,Yes,Yes,2020_Nov_09_1542,toneDetectionPlatform_V1.8,2020.2.4,59.916979057329485,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiet,,,,,,,,,,,,103.25216460006777,None,b,5.661478299996816,103.25216460006777,None,,,,,,,,,,,,,,,,,,,,,1,Quiet,0.8912509381337447,Yes,Yes,2020_Nov_09_1542,toneDetectionPlatform_V1.8,2020.2.4,59.916979057329485,
