instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceCompleteLoop.thisRepN,practiceCompleteLoop.thisTrialN,practiceCompleteLoop.thisN,practiceCompleteLoop.thisIndex,welcomeText.started,welcomeText.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,firstITI.started,firstITI.stopped,text_10.started,text_10.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,trials.label,trials.startVal,trials.startValSd,trials.pThreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.range,trials.minVal,trials.maxVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,Trial,Psychopy_input_value,Desired_dB,Condition,trialType,Response_time,Accuracy,text_11.started,text_11.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,Participant,Session,Condition,Calibration,Practice,Instructions,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,18.973332799971104,None,space,3.9621429999824613,18.973332799971104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Backward,,,,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,22.95408860000316,None,27.99449369998183,None,b,13.913723999983631,27.99449369998183,None,,,,,,,,,,,,,,,,,,,,,,,Backward,,,,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,41.93995339993853,None,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,1,0,start,4,lin,80,1,1,0.01258925411794167,80.0,Backward,Test,0.8283761999337003,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,2,1,start,4,lin,61.555998968509456,1,2,0.0015059132288911036,61.555998968509456,Backward,Test,1.662753399927169,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,3,2,start,4,lin,49.73422800560533,1,3,0.0003861103116690461,49.73422800560533,Backward,Test,0.4230976999970153,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,4,3,start,4,lin,41.820302374026156,1,4,0.00015524410527447668,41.820302374026156,Backward,Test,0.2664703999180347,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,5,4,start,4,lin,36.74375157993622,1,5,8.653415934721939e-05,36.74375157993622,Backward,Test,0.4457177999429405,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,6,5,start,4,lin,33.695010623041235,1,6,6.091868656171759e-05,33.695010623041235,Backward,Test,1.5422560999868438,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,7,6,start,4,lin,31.9807711598593,0,7,5.0007893154381025e-05,31.9807711598593,Backward,Test,0.5220387000590563,0,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,8,7,start,4,lin,32.9324379100375,0,8,5.5798419224705e-05,32.9324379100375,Backward,Test,0.3478417000733316,0,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,9,8,start,4,lin,33.39556101602223,1,9,5.8854279961637866e-05,33.39556101602223,Backward,Test,0.45684360002633184,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,10,9,start,4,lin,33.215447996060426,1,10,5.764642772620271e-05,33.215447996060426,Backward,Test,0.5629160000244156,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,11,10,start,4,lin,33.10769765350503,1,11,5.6935728604849884e-05,33.10769765350503,Backward,Test,0.5858537999447435,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,12,11,start,4,lin,33.033808888350045,0,12,5.645344436006388e-05,33.033808888350045,Backward,Test,0.37449209997430444,0,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,13,12,start,4,lin,33.11365367134316,0,13,5.6974783499842384e-05,33.11365367134316,Backward,Test,0.5134204000933096,0,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,14,13,start,4,lin,33.17406808301642,0,14,5.737245105834855e-05,33.17406808301642,Backward,Test,0.7701694000279531,0,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,15,14,start,4,lin,33.22617464924472,0,15,5.771766225009084e-05,33.22617464924472,Backward,Test,0.24056239996571094,0,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,16,15,start,4,lin,33.2757413238148,0,16,5.804797395583191e-05,33.2757413238148,Backward,Test,0.9210191000020131,0,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,17,16,start,4,lin,33.32225022494153,0,17,5.8359627506420586e-05,33.32225022494153,Backward,Test,0.4233814999461174,0,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,18,17,start,4,lin,33.36527684897452,1,18,5.8649436317753703e-05,33.36527684897452,Backward,Test,0.45658589992672205,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,test,80,32,0.63,3.5,0.01,0.01,0.01,100,0,100,0,19,18,start,4,lin,33.33951865169538,1,19,5.8475767757154494e-05,33.33951865169538,Backward,Test,0.5196601999923587,1,,,,,,,,1,Backward,0.8912509381337447,No,No,2020_Nov_09_1555,toneDetectionPlatform_V1.8,2020.2.4,60.035180618142235,
