trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,press_space.started,press_space.stopped,title_text.started,title_text.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,text_6.started,text_6.stopped,last_level_text.started,last_level_text.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,space,0.6214597999969556,9.363191599997663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
,,,,,,,9.363191599997663,None,9.363191599997663,None,10.002503499999875,None,space,0,0.30367800000021816,10.002503499999875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
,,,,,,,,,,,,,,,,,,10.336151399998926,None,space,1,0.19938679999904707,10.336151399998926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
,,,,,,,,,,,,,,,,,,,,,,,,,10.552888599999278,None,space,1,0.37891140000283485,10.552888599999278,None,,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
0,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.35300954999002,None,0,0.8545578000012028,11.354727300000377,None,11.354727300000377,None,11.354727300000377,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
1,0.3,0.19952623149688797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.654579619992,None,0,0.6232635999986087,12.650376400000823,None,12.650376400000823,None,12.650376400000823,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
2,0.3,0.39810717055349726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.688735949990587,None,1,0.9733808999990288,13.692527600000176,None,13.692527600000176,None,13.692527600000176,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
3,0.3,0.19952623149688797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.090452949991231,None,1,0.4235325000008743,15.08626809999987,None,15.08626809999987,None,15.08626809999987,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
4,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.94109134999053,None,1,0.5623402000019269,15.935336700000335,None,15.935336700000335,None,15.935336700000335,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
5,0.2,0.050118723362727234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.925061149990142,None,0,0.40985469999941415,16.929558899999392,None,16.929558899999392,None,16.929558899999392,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
6,0.2,0.07943282347242817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.759480249989792,None,0,0.5101114999997662,17.763992000000144,None,17.763992000000144,None,17.763992000000144,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
7,0.2,0.12589254117941676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.69386014999145,None,0,0.13253310000072815,18.698032699998294,None,18.698032699998294,None,18.698032699998294,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
8,0.2,0.19952623149688803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.261186149991772,None,0,[],19.26404739999998,None,19.26404739999998,None,19.26404739999998,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
9,0.2,0.31622776601683805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.67478154998935,49.675515999999334,0,[],49.675515999999334,49.675515999999334,49.675515999999334,49.675515999999334,49.675515999999334,49.675515999999334,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
10,0.2,0.5011872336272725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.08950374999222,80.08615350000036,1,1.0296180000004824,80.08615350000036,80.08615350000036,80.08615350000036,80.08615350000036,80.08615350000036,80.08615350000036,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
11,0.1,0.31622776601683805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.54007354999158,None,0,1.947360199999821,81.54114309999932,None,81.54114309999932,None,81.54114309999932,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
12,0.1,0.3981071705534974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.92567571998953,None,0,0.20352079999793204,83.91963649999889,None,83.91963649999889,None,83.91963649999889,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
13,0.1,0.5011872336272726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.54282534999038,None,0,0.7403496000006271,84.54729020000013,None,84.54729020000013,None,84.54729020000013,None,,,,,,,,,,,,,001,2020_Nov_02_1614,headphone_calibration,2020.2.4,60.05728263625642,
