3.3014 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
20.1461 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000215A475C1D0>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000215A47B8A58>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
20.1462 	EXP 	window1: recordFrameIntervals = False
20.3125 	EXP 	window1: recordFrameIntervals = True
20.4052 	WARNING 	t of last frame was 25.98ms (=1/38)
20.5794 	EXP 	window1: recordFrameIntervals = False
20.8309 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0. , 0.5]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
20.8532 	EXP 	Sound sound_1 set volume 1.000
20.8702 	EXP 	Created question_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='question_text', opacity=1.0, ori=0, pos=array([0. , 0.2]), rgb=array([255., 255., 255.]), text="'Does your db SPL meter read 113 db SPL?'", units='height', win=Window(...), wrapWidth=1)
20.8753 	EXP 	Created level_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='level_text', opacity=1.0, ori=0, pos=array([ 0. , -0.2]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
20.9047 	EXP 	text: autoDraw = True
21.5677 	DATA 	Mouse: Left button down, pos=(671,1)
21.6504 	DATA 	Mouse:  Left button up, pos=(671,1)
21.7839 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (11).
21.7912 	DATA 	Keypress: space
21.7967 	EXP 	text: autoDraw = False
21.7967 	EXP 	level_text: text = 0.1
21.7967 	EXP 	question_text: autoDraw = True
21.7967 	EXP 	level_text: autoDraw = True
23.8158 	DATA 	Keypress: up
23.8184 	EXP 	question_text: autoDraw = False
23.8184 	EXP 	level_text: autoDraw = False
23.8184 	EXP 	level_text: text = 0.6309573444801934
23.8184 	EXP 	question_text: autoDraw = True
23.8184 	EXP 	level_text: autoDraw = True
24.2913 	DATA 	Keypress: up
24.2995 	EXP 	question_text: autoDraw = False
24.2995 	EXP 	level_text: autoDraw = False
24.2995 	EXP 	level_text: text = 1
24.2995 	EXP 	question_text: autoDraw = True
24.2995 	EXP 	level_text: autoDraw = True
24.9455 	DATA 	Keypress: down
24.9499 	EXP 	question_text: autoDraw = False
24.9499 	EXP 	level_text: autoDraw = False
24.9499 	EXP 	level_text: text = 0.15848931924611132
24.9499 	EXP 	question_text: autoDraw = True
24.9499 	EXP 	level_text: autoDraw = True
25.1046 	DATA 	Keypress: down
25.1335 	EXP 	question_text: autoDraw = False
25.1335 	EXP 	level_text: autoDraw = False
25.1335 	EXP 	level_text: text = 0.02511886431509579
25.1335 	EXP 	question_text: autoDraw = True
25.1335 	EXP 	level_text: autoDraw = True
25.2604 	DATA 	Keypress: down
25.2670 	EXP 	question_text: autoDraw = False
25.2670 	EXP 	level_text: autoDraw = False
25.2670 	EXP 	level_text: text = 0.00398107170553497
25.2670 	EXP 	question_text: autoDraw = True
25.2670 	EXP 	level_text: autoDraw = True
25.3926 	DATA 	Keypress: down
25.4006 	EXP 	question_text: autoDraw = False
25.4006 	EXP 	level_text: autoDraw = False
25.4006 	EXP 	level_text: text = 0.0006309573444801928
25.4006 	EXP 	question_text: autoDraw = True
25.4006 	EXP 	level_text: autoDraw = True
26.4741 	DATA 	Keypress: up
26.5017 	EXP 	question_text: autoDraw = False
26.5017 	EXP 	level_text: autoDraw = False
26.5017 	EXP 	level_text: text = 0.002511886431509578
26.5017 	EXP 	question_text: autoDraw = True
26.5017 	EXP 	level_text: autoDraw = True
26.9792 	DATA 	Keypress: up
26.9856 	EXP 	question_text: autoDraw = False
26.9856 	EXP 	level_text: autoDraw = False
26.9856 	EXP 	level_text: text = 0.009999999999999992
26.9856 	EXP 	question_text: autoDraw = True
26.9856 	EXP 	level_text: autoDraw = True
27.2144 	DATA 	Keypress: up
27.2191 	EXP 	question_text: autoDraw = False
27.2191 	EXP 	level_text: autoDraw = False
27.2191 	EXP 	level_text: text = 0.039810717055349686
27.2191 	EXP 	question_text: autoDraw = True
27.2191 	EXP 	level_text: autoDraw = True
27.4129 	DATA 	Keypress: up
27.4191 	EXP 	question_text: autoDraw = False
27.4191 	EXP 	level_text: autoDraw = False
27.4191 	EXP 	level_text: text = 0.15848931924611118
27.4191 	EXP 	question_text: autoDraw = True
27.4191 	EXP 	level_text: autoDraw = True
27.8146 	DATA 	Keypress: down
