trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,space,0.4897587000159547,9.263151899969671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1448,headphone_calibration,2020.1.3,60.035180618142235,
,,,,,,,9.263151899969671,None,9.781922800000757,None,space,0,0.1945199000183493,9.781922800000757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1448,headphone_calibration,2020.1.3,60.035180618142235,
,,,,,,,,,,,,,,,,9.998216899984982,None,space,1,0.14502759999595582,9.998216899984982,None,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1448,headphone_calibration,2020.1.3,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,10.16496779996669,None,space,1,0.4733155000139959,10.16496779996669,None,,,,,,,,,,,,,,001,2020_Oct_20_1448,headphone_calibration,2020.1.3,60.035180618142235,
0,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.664491450006608,None,0,2.262432200019248,10.664038699993398,None,10.664038699993398,None,10.664038699993398,None,,,,001,2020_Oct_20_1448,headphone_calibration,2020.1.3,60.035180618142235,
1,0.3,0.19952623149688797,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.961899999994785,None,0,0.20049860002472997,12.959049099998083,None,12.959049099998083,None,12.959049099998083,None,,,,001,2020_Oct_20_1448,headphone_calibration,2020.1.3,60.035180618142235,
2,0.3,0.39810717055349726,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.178406149963848,None,0,0.14058499998645857,13.178438899980392,None,13.178438899980392,None,13.178438899980392,None,,,,001,2020_Oct_20_1448,headphone_calibration,2020.1.3,60.035180618142235,
3,0.3,0.7943282347242815,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.344795049983077,None,0,0.12280490004923195,13.344856999989133,None,13.344856999989133,None,13.344856999989133,None,,,,001,2020_Oct_20_1448,headphone_calibration,2020.1.3,60.035180618142235,
4,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.494925150007475,None,0,0.11734569998225197,13.494555399985984,None,13.494555399985984,None,13.494555399985984,None,,,,001,2020_Oct_20_1448,headphone_calibration,2020.1.3,60.035180618142235,
5,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.627769849961624,None,0,0.1450998000218533,13.627829600009136,None,13.627829600009136,None,13.627829600009136,None,,,,001,2020_Oct_20_1448,headphone_calibration,2020.1.3,60.035180618142235,
6,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.794550349994097,None,1,0.1736448000301607,13.794016400002874,None,13.794016400002874,None,13.794016400002874,None,,,,001,2020_Oct_20_1448,headphone_calibration,2020.1.3,60.035180618142235,
7,0.3,0.5011872336272724,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.994288849993609,None,1,0.11823439999716356,13.994438099965919,None,13.994438099965919,None,13.994438099965919,None,,,,001,2020_Oct_20_1448,headphone_calibration,2020.1.3,60.035180618142235,
8,0.3,0.25118864315095807,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.144149950006977,None,1,0.11281530000269413,14.143986999988556,None,14.143986999988556,None,14.143986999988556,None,,,,001,2020_Oct_20_1448,headphone_calibration,2020.1.3,60.035180618142235,
9,0.3,0.12589254117941676,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.277514349960256,None,1,0.11699300003238022,14.277523299970198,None,14.277523299970198,None,14.277523299970198,None,,,,001,2020_Oct_20_1448,headphone_calibration,2020.1.3,60.035180618142235,
10,0.3,0.06309573444801934,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.410600550007075,None,1,0.13588469999376684,14.410541799967177,None,14.410541799967177,None,14.410541799967177,None,,,,001,2020_Oct_20_1448,headphone_calibration,2020.1.3,60.035180618142235,
11,0.3,0.031622776601683805,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.577079449954908,None,1,0.10884559998521581,14.577634599991143,None,14.577634599991143,None,14.577634599991143,None,,,,001,2020_Oct_20_1448,headphone_calibration,2020.1.3,60.035180618142235,
12,0.2,0.01584893192461114,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.710324049985502,None,0,0.7960054000141099,14.710313799965661,None,14.710313799965661,None,14.710313799965661,None,,,,001,2020_Oct_20_1448,headphone_calibration,2020.1.3,60.035180618142235,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.526077899965458,None,,,,,,,
