trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,space,0.6832932999823242,10.073481799976435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
,,,,,,,10.073481799976435,None,10.772629399958532,None,space,0,0.15414609998697415,10.772629399958532,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
,,,,,,,,,,,,,,,,10.955474199960008,None,space,1,0.11738470004638657,10.955474199960008,None,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
,,,,,,,,,,,,,,,,,,,,,,,11.088907699973788,None,space,1,0.10306960000889376,11.088907699973788,None,,,,,,,,,,,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
0,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.22214548996999,None,0,0.5218674999778159,11.223622799967416,None,11.223622799967416,None,11.223622799967416,None,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
1,0.3,0.19952623149688797,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.787751080002636,None,0,0.15926019998732954,11.780098999966867,None,11.780098999966867,None,11.780098999966867,None,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
2,0.3,0.39810717055349726,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.954703089984832,None,0,0.1268102999893017,11.954431399994064,None,11.954431399994064,None,11.954431399994064,None,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
3,0.3,0.7943282347242815,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.104243390000192,None,0,0.09190449997549877,12.104303399974015,None,12.104303399974015,None,12.104303399974015,None,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
4,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2208595899574,None,0,0.12726809998275712,12.220640899962746,None,12.220640899962746,None,12.220640899962746,None,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
5,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.370781989971874,None,0,0.1193916000192985,12.3712970999768,None,12.3712970999768,None,12.3712970999768,None,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
6,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.520610689971363,None,0,0.11767659999895841,12.520482399966568,None,12.520482399966568,None,12.520482399966568,None,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
7,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.653782689973013,None,1,0.11928759998409078,12.653731099970173,None,12.653731099970173,None,12.653731099970173,None,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
8,0.3,0.5011872336272724,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.803736689995276,None,1,0.10707349999574944,12.809017199964728,None,12.809017199964728,None,12.809017199964728,None,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
9,0.3,0.25118864315095807,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.937064189958619,None,1,0.12944940000306815,12.936986699991394,None,12.936986699991394,None,12.936986699991394,None,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
10,0.3,0.12589254117941676,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.086790789995575,None,1,0.12784309999551624,13.0913740999531,None,13.0913740999531,None,13.0913740999531,None,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
11,0.3,0.06309573444801934,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.236805989959976,None,1,0.10894139995798469,13.236822599952575,None,13.236822599952575,None,13.236822599952575,None,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
12,0.3,0.031622776601683805,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.369781089975731,None,1,0.12577240000246093,13.370059099979699,None,13.370059099979699,None,13.370059099979699,None,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
13,0.3,0.01584893192461114,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5197624899738,None,1,0.11121559998719022,13.522516599972732,None,13.522516599972732,None,13.522516599972732,None,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
14,0.2,0.007943282347242819,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.653141389979282,None,0,0.10045010002795607,13.652723299979698,None,13.652723299979698,None,13.652723299979698,None,,001,2020_Oct_20_1521,headphone_calibration,2020.1.3,60.06006004191889,
