trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,space,0.45594119996530935,8.770264699996915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1522,headphone_calibration,2020.1.3,59.959119860944234,
,,,,,,,8.770264699996915,None,9.242601600009948,None,space,0,0.8602927000029013,9.242601600009948,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1522,headphone_calibration,2020.1.3,59.959119860944234,
,,,,,,,,,,,,,,,,10.125089999986812,None,space,1,0.175730700022541,10.125089999986812,None,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1522,headphone_calibration,2020.1.3,59.959119860944234,
,,,,,,,,,,,,,,,,,,,,,,,10.32487760001095,None,space,1,0.31951380003010854,10.32487760001095,None,,,,,,,,,,,,001,2020_Oct_20_1522,headphone_calibration,2020.1.3,59.959119860944234,
0,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.674613379995572,None,0,1.3939683999633417,10.676412599976175,None,10.676412599976175,None,10.676412599976175,None,,001,2020_Oct_20_1522,headphone_calibration,2020.1.3,59.959119860944234,
1,0.3,0.19952623149688797,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.10763776000822,None,0,0.11216570000397041,12.111310600012075,None,12.111310600012075,None,12.111310600012075,None,,001,2020_Oct_20_1522,headphone_calibration,2020.1.3,59.959119860944234,
2,0.3,0.39810717055349726,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.239394380018348,None,0,0.14611879998119548,12.240481099986937,None,12.240481099986937,None,12.240481099986937,None,,001,2020_Oct_20_1522,headphone_calibration,2020.1.3,59.959119860944234,
3,0.3,0.7943282347242815,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.405883779987926,None,0,0.10298829997191206,12.408362500020303,None,12.408362500020303,None,12.408362500020303,None,,001,2020_Oct_20_1522,headphone_calibration,2020.1.3,59.959119860944234,
4,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.539259879972088,None,0,0.11464350001187995,12.538885799993295,None,12.538885799993295,None,12.538885799993295,None,,001,2020_Oct_20_1522,headphone_calibration,2020.1.3,59.959119860944234,
5,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.672053580003558,None,1,0.22103199997218326,12.672058299998753,None,12.672058299998753,None,12.672058299998753,None,,001,2020_Oct_20_1522,headphone_calibration,2020.1.3,59.959119860944234,
6,0.3,0.5011872336272724,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.921931880008197,None,1,0.15573330002371222,12.921762100013439,None,12.921762100013439,None,12.921762100013439,None,,001,2020_Oct_20_1522,headphone_calibration,2020.1.3,59.959119860944234,
7,0.3,0.25118864315095807,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.105183579964796,None,1,0.10954819998005405,13.104941199999303,None,13.104941199999303,None,13.104941199999303,None,,001,2020_Oct_20_1522,headphone_calibration,2020.1.3,59.959119860944234,
8,0.3,0.12589254117941676,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2383652799821,None,1,0.09831879998091608,13.238482300017495,None,13.238482300017495,None,13.238482300017495,None,,001,2020_Oct_20_1522,headphone_calibration,2020.1.3,59.959119860944234,
9,0.3,0.06309573444801934,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.355032679979923,None,1,0.12956839997787029,13.354871599993203,None,13.354871599993203,None,13.354871599993203,None,,001,2020_Oct_20_1522,headphone_calibration,2020.1.3,59.959119860944234,
10,0.3,0.031622776601683805,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.504645479965257,None,1,0.13397350005107,13.504856999963522,None,13.504856999963522,None,13.504856999963522,None,,001,2020_Oct_20_1522,headphone_calibration,2020.1.3,59.959119860944234,
11,0.3,0.01584893192461114,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.654700479999883,None,1,0.12901190004777163,13.654942399996798,None,13.654942399996798,None,13.654942399996798,None,,001,2020_Oct_20_1522,headphone_calibration,2020.1.3,59.959119860944234,
12,0.2,0.007943282347242819,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.80445797998109,None,0,0.7046632000128739,13.804405600007158,None,13.804405600007158,None,13.804405600007158,None,,001,2020_Oct_20_1522,headphone_calibration,2020.1.3,59.959119860944234,
