trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,title_text.started,title_text.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,text_6.started,text_6.stopped,last_level_text.started,last_level_text.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,space,0.9100709000485949,19.052209600049537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
,,,,,,,19.052209600049537,None,19.052209600049537,None,19.979705700010527,None,space,0,0.7063899000058882,19.979705700010527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
,,,,,,,,,,,,,,,,,,20.711855500005186,None,space,1,0.5415591999772005,20.711855500005186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
,,,,,,,,,,,,,,,,,,,,,,,,,21.278488200041465,None,space,1,0.5246793000260368,21.278488200041465,None,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
0,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.82789095005137,None,0,0.49550250003812835,21.82752910000272,None,21.82752910000272,None,21.82752910000272,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
1,0.3,0.19952623149688797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.360241800022777,None,0,0.21922590001486242,22.35215380002046,None,22.35215380002046,None,22.35215380002046,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
2,0.3,0.39810717055349726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.59359505001339,None,0,0.13500290003139526,22.593513700005133,None,22.593513700005133,None,22.593513700005133,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
3,0.3,0.7943282347242815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.743475249997573,None,0,0.16405920003307983,22.743312200007495,None,22.743312200007495,None,22.743312200007495,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
4,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.92658975001541,None,0,0.13469370000530034,22.92657330003567,None,22.92657330003567,None,22.92657330003567,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
5,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.07635095002479,None,1,0.28388669999549165,23.076704900013283,None,23.076704900013283,None,23.076704900013283,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
6,0.3,0.5011872336272724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.376146850030636,None,1,0.142888700007461,23.37620760005666,None,23.37620760005666,None,23.37620760005666,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
7,0.3,0.25118864315095807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.542724050028482,None,1,0.12456879997625947,23.543193300021812,None,23.543193300021812,None,23.543193300021812,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
8,0.3,0.12589254117941676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.692528650019085,None,1,0.11660220002522692,23.69257660000585,None,23.69257660000585,None,23.69257660000585,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
9,0.2,0.06309573444801934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.825837950018467,None,0,0.2071466000052169,23.82668730005389,None,23.82668730005389,None,23.82668730005389,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
10,0.2,0.10000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.05893005002872,None,0,0.1290656999917701,24.05886540003121,None,24.05886540003121,None,24.05886540003121,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
11,0.2,0.15848931924611143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.208882150036516,None,0,0.1302923999610357,24.208962000033353,None,24.208962000033353,None,24.208962000033353,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
12,0.2,0.2511886431509582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.358705550053855,None,0,0.12981549999676645,24.35865210002521,None,24.35865210002521,None,24.35865210002521,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
13,0.2,0.39810717055349754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.508512650005287,None,0,0.11043940001400188,24.50853760004975,None,24.50853760004975,None,24.50853760004975,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
14,0.2,0.6309573444801937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.64165375000448,None,1,0.4273382999817841,24.641642800008412,None,24.641642800008412,None,24.641642800008412,None,,,,,,,,,,,,,001,2020_Oct_20_1545,headphone_calibration,2020.1.3,60.11100096586308,
