desired_db,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,press_space.started,press_space.stopped,title_text.started,title_text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,level,date,expName,psychopyVersion,frameRate,
,,,,,34.40228390000016,None,34.40228390000016,None,space,1,1.0449682000000848,34.40228390000016,None,,,,,,,,,,,,,,1,2020_Nov_02_1200,headphone_calibration_check,2020.2.4,59.92954682473178,
30,0,0,0,0,,,,,,,,,,35.50504240000009,None,35.50504240000009,None,35.50112947999998,None,space,1,1.7775254000000587,35.50504240000009,None,,,1,2020_Nov_02_1200,headphone_calibration_check,2020.2.4,59.92954682473178,
35,0,1,1,1,,,,,,,,,,37.302779699999974,None,37.302779699999974,None,37.30277395999999,None,space,1,0.41476460000012594,37.302779699999974,None,,,1,2020_Nov_02_1200,headphone_calibration_check,2020.2.4,59.92954682473178,
40,0,2,2,2,,,,,,,,,,37.73654140000008,None,37.73654140000008,None,37.73666505999997,None,space,1,0.12686619999999493,37.73654140000008,None,,,1,2020_Nov_02_1200,headphone_calibration_check,2020.2.4,59.92954682473178,
45,0,3,3,3,,,,,,,,,,37.88670100000013,None,37.88670100000013,None,37.88678986000016,None,space,1,0.10182669999994687,37.88670100000013,None,,,1,2020_Nov_02_1200,headphone_calibration_check,2020.2.4,59.92954682473178,
50,0,4,4,4,,,,,,,,,,38.02016830000002,None,38.02016830000002,None,38.02028466000004,None,space,1,0.10948480000001837,38.02016830000002,None,,,1,2020_Nov_02_1200,headphone_calibration_check,2020.2.4,59.92954682473178,
55,0,5,5,5,,,,,,,,,,38.15378499999997,None,38.15378499999997,None,38.15363926000011,None,space,1,0.12014139999996587,38.15378499999997,None,,,1,2020_Nov_02_1200,headphone_calibration_check,2020.2.4,59.92954682473178,
60,0,6,6,6,,,,,,,,,,38.303782400000046,None,38.303782400000046,None,38.30376316000004,None,space,1,0.12196479999988696,38.303782400000046,None,,,1,2020_Nov_02_1200,headphone_calibration_check,2020.2.4,59.92954682473178,
65,0,7,7,7,,,,,,,,,,38.45404770000005,None,38.45404770000005,None,38.453941060000055,None,space,1,0.11159730000008494,38.45404770000005,None,,,1,2020_Nov_02_1200,headphone_calibration_check,2020.2.4,59.92954682473178,
70,0,8,8,8,,,,,,,,,,38.58743389999995,None,38.58743389999995,None,38.58746636000003,None,space,1,0.12005350000004,38.58743389999995,None,,,1,2020_Nov_02_1200,headphone_calibration_check,2020.2.4,59.92954682473178,
75,0,9,9,9,,,,,,,,,,38.737516800000094,None,38.737516800000094,None,38.7375408600001,None,space,1,0.11438169999996717,38.737516800000094,None,,,1,2020_Nov_02_1200,headphone_calibration_check,2020.2.4,59.92954682473178,
80,0,10,10,10,,,,,,,,,,38.87099770000009,None,38.87099770000009,None,38.871131260000105,None,space,1,0.12997489999997924,38.87099770000009,None,,,1,2020_Nov_02_1200,headphone_calibration_check,2020.2.4,59.92954682473178,
85,0,11,11,11,,,,,,,,,,39.021183600000086,None,39.021183600000086,None,39.02127156000008,None,space,1,0.13759669999990365,39.021183600000086,None,,,1,2020_Nov_02_1200,headphone_calibration_check,2020.2.4,59.92954682473178,
90,0,12,12,12,,,,,,,,,,39.18795960000011,None,39.18795960000011,None,39.188083260000006,None,space,1,0.11314330000004702,39.18795960000011,None,,,1,2020_Nov_02_1200,headphone_calibration_check,2020.2.4,59.92954682473178,
95,0,13,13,13,,,,,,,,,,39.32195580000007,None,39.32195580000007,None,39.32153056000018,None,space,1,0.16587299999991956,39.32195580000007,None,,,1,2020_Nov_02_1200,headphone_calibration_check,2020.2.4,59.92954682473178,
100,0,14,14,14,,,,,,,,,,39.5049497,None,39.5049497,None,39.504998860000136,None,space,1,0.2565947000000506,39.5049497,None,,,1,2020_Nov_02_1200,headphone_calibration_check,2020.2.4,59.92954682473178,
