desired_db,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,press_space.started,press_space.stopped,title_text.started,title_text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,level,date,expName,psychopyVersion,frameRate,
,,,,,17.122131399999944,None,17.122131399999944,None,space,1,0.6682274999998299,17.122131399999944,None,,,,,,,,,,,,,,1,2020_Nov_02_1216,headphone_calibration_check,2020.2.4,59.94715059193169,
30,0,0,0,0,,,,,,,,,,17.85534000000007,None,17.85534000000007,None,17.85951551999997,None,space,1,0.5142829999999776,17.85534000000007,None,,,1,2020_Nov_02_1216,headphone_calibration_check,2020.2.4,59.94715059193169,
35,0,1,1,1,,,,,,,,,,18.39337720000003,None,18.39337720000003,None,18.393640479999796,None,space,1,0.18572519999997894,18.39337720000003,None,,,1,2020_Nov_02_1216,headphone_calibration_check,2020.2.4,59.94715059193169,
40,0,2,2,2,,,,,,,,,,18.59367259999999,None,18.59367259999999,None,18.593842379999934,None,space,1,0.16906589999962307,18.59367259999999,None,,,1,2020_Nov_02_1216,headphone_calibration_check,2020.2.4,59.94715059193169,
45,0,3,3,3,,,,,,,,,,18.794245300000057,None,18.794245300000057,None,18.79418227999995,None,space,1,0.11952940000037415,18.794245300000057,None,,,1,2020_Nov_02_1216,headphone_calibration_check,2020.2.4,59.94715059193169,
50,0,4,4,4,,,,,,,,,,18.943901900000128,None,18.943901900000128,None,18.943819679999798,None,space,1,0.12155380000012883,18.943901900000128,None,,,1,2020_Nov_02_1216,headphone_calibration_check,2020.2.4,59.94715059193169,
55,0,5,5,5,,,,,,,,,,19.094169599999987,None,19.094169599999987,None,19.09405428,None,space,1,0.13168339999992895,19.094169599999987,None,,,1,2020_Nov_02_1216,headphone_calibration_check,2020.2.4,59.94715059193169,
60,0,6,6,6,,,,,,,,,,19.24422790000017,None,19.24422790000017,None,19.244377780000015,None,space,1,0.1687619000003906,19.24422790000017,None,,,1,2020_Nov_02_1216,headphone_calibration_check,2020.2.4,59.94715059193169,
65,0,7,7,7,,,,,,,,,,19.427689199999804,None,19.427689199999804,None,19.42821177999995,None,space,1,0.19889509999984512,19.427689199999804,None,,,1,2020_Nov_02_1216,headphone_calibration_check,2020.2.4,59.94715059193169,
70,0,8,8,8,,,,,,,,,,19.644615599999725,None,19.644615599999725,None,19.64504397999972,None,space,1,0.6580685000003541,19.644615599999725,None,,,1,2020_Nov_02_1216,headphone_calibration_check,2020.2.4,59.94715059193169,
75,0,9,9,9,,,,,,,,,,20.32859809999991,None,20.32859809999991,None,20.32880518000011,None,space,1,0.5668620999999803,20.32859809999991,None,,,1,2020_Nov_02_1216,headphone_calibration_check,2020.2.4,59.94715059193169,
80,0,10,10,10,,,,,,,,,,20.913102699999854,None,20.913102699999854,None,20.9125954799998,None,space,1,1.1643427000003612,20.913102699999854,None,,,1,2020_Nov_02_1216,headphone_calibration_check,2020.2.4,59.94715059193169,
85,0,11,11,11,,,,,,,,,,22.097039400000085,None,22.097039400000085,None,22.097127379999712,None,space,1,0.4029491000001144,22.097039400000085,None,,,1,2020_Nov_02_1216,headphone_calibration_check,2020.2.4,59.94715059193169,
90,0,12,12,12,,,,,,,,,,22.53081919999977,None,22.53081919999977,None,22.53079177999971,None,space,1,0.37278379999997924,22.53081919999977,None,,,1,2020_Nov_02_1216,headphone_calibration_check,2020.2.4,59.94715059193169,
95,0,13,13,13,,,,,,,,,,22.931341299999985,None,22.931341299999985,None,22.931175079999868,None,space,1,0.35859979999986535,22.931341299999985,None,,,1,2020_Nov_02_1216,headphone_calibration_check,2020.2.4,59.94715059193169,
100,0,14,14,14,,,,,,,,,,23.31490309999981,None,23.31490309999981,None,23.31494208000013,None,space,1,0.9006370999995852,23.31490309999981,None,,,1,2020_Nov_02_1216,headphone_calibration_check,2020.2.4,59.94715059193169,
