trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,15.393401300002006,None,u,3.079146000000037,15.415650800001458,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
1,0,1,0,18.531590433333378,None,u,0.5478044999981648,18.523240599999554,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
2,0,2,0,19.104879733335594,None,u,0.5457215999995242,19.095208200000343,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
3,0,3,0,19.67811283333552,None,u,0.45566800000233343,19.667598799998814,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
4,0,4,0,20.171935633334698,None,u,0.5391807999985758,20.16152670000156,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
5,0,5,0,20.745395233334904,None,u,0.36245079999935115,20.735085000000254,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
6,0,6,0,21.13265643333264,None,u,0.3232226999971317,21.121336600001086,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
7,0,7,0,21.47947133333267,None,u,0.4119542000007641,21.469335800000408,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
8,0,8,0,21.919304533334554,None,d,1.9101010000013048,21.90882910000073,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
9,0,9,0,23.86646573333249,None,d,0.10325039999952423,23.858239900000626,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
10,0,10,0,23.99998603333418,None,d,0.11195239999869955,23.99133979999897,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
11,0,11,0,24.146497933332768,None,d,0.10862340000312543,24.136298199999146,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
12,0,12,0,24.28161253333431,None,d,0.12175270000079763,24.27124560000084,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
13,0,13,0,24.428189033333666,None,d,0.10454860000027111,24.417917300001136,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
14,0,14,0,24.560003433333378,None,d,0.11280600000100094,24.54981830000179,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
15,0,15,0,24.706961433334556,None,d,0.10470880000139005,24.695594100001472,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
16,0,16,0,24.823453266668608,None,d,0.12339459999930114,24.827984899999137,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
17,0,17,0,25.000355333334056,None,d,0.12330759999895236,24.99041109999962,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
18,0,18,0,25.147180233333103,None,d,0.13434090000009746,25.136379499999748,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
19,0,19,0,25.307883433332364,None,d,1.4899369999984629,25.296441999998933,None,,0.2,001,2020_Oct_16_1638,temp,2020.1.3,None,
