trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,,19.7069341000024,19.7069341000024,space,5.606936200001655,19.7069341000024,None,,,,,,,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
0,0,0,0,,,,,,,25.341425766666603,None,d,1.1293139000008523,25.3443322000021,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
1,0,1,0,,,,,,,26.531853633332986,None,d,1.1946887999984028,26.5222145000007,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
2,0,2,0,,,,,,,27.758825933335658,None,d,0.6761509999996633,27.748532699999487,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
3,0,3,0,,,,,,,28.466040333333268,None,d,0.3779455000003509,28.455822399999306,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
4,0,4,0,,,,,,,28.87943103333285,None,d,0.1883936000012909,28.869577900000877,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
5,0,5,0,,,,,,,29.093441833334992,None,d,0.3928338999976404,29.084017799999856,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
6,0,6,0,,,,,,,29.52003833333268,None,d,0.13673750000089058,29.50924809999924,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
7,0,7,0,,,,,,,29.67982453333437,None,d,0.13161200000104145,29.668832800001837,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
8,0,8,0,,,,,,,29.83969933333404,None,d,0.12791920000017853,29.829626099999587,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
9,0,9,0,,,,,,,30.013092533332866,None,d,0.11347139999998035,30.00247600000148,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
10,0,10,0,,,,,,,30.160092333332187,None,d,0.3500711999986379,30.149165300001187,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
11,0,11,0,,,,,,,30.546800533335528,None,d,0.12544569999954547,30.53535280000142,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
12,0,12,0,,,,,,,30.693456633333454,None,d,0.5106942999991588,30.684433599999466,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
13,0,13,0,,,,,,,31.226923633334565,None,d,0.18934900000022026,31.217174699999305,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
14,0,14,0,,,,,,,31.440297033332655,None,d,0.13717060000271886,31.430642300001637,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
15,0,15,0,,,,,,,31.6003424333326,None,d,0.4710732999992615,31.59072129999913,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
16,0,16,0,,,,,,,32.09425243333365,None,d,0.16872050000165473,32.08605069999976,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
17,0,17,0,,,,,,,32.29409653333326,None,d,0.1296150000016496,32.28482480000093,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
18,0,18,0,,,,,,,32.45541933333564,None,d,0.12677449999682722,32.444842299999436,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
19,0,19,0,,,,,,,32.627260833335214,None,d,0.09740299999975832,32.61662609999985,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
20,0,20,0,,,,,,,32.7605744333346,None,d,0.4243275000007998,32.75173910000012,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
21,0,21,0,,,,,,,33.227742933333985,None,d,0.4003491000003123,33.21917559999929,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
22,0,22,0,,,,,,,33.6382130666682,None,d,0.16006779999952414,33.64366090000112,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
23,0,23,0,,,,,,,33.841388433335425,None,d,0.1663048999980674,33.832141499999125,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
24,0,24,0,,,,,,,34.04142443333379,None,d,0.14163339999868185,34.03170189999946,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
25,0,25,0,,,,,,,34.21508183333256,None,d,0.49796559999958845,34.20259069999884,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
26,0,26,0,,,,,,,34.73549813333423,None,d,0.6270588999977917,34.72479000000021,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
27,0,27,0,,,,,,,35.38836193333239,None,d,12.618794400001207,35.378195699999196,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
28,0,28,0,,,,,,,48.04684393333494,None,d,0.09798809999847435,48.03642150000087,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
29,0,29,0,,,,,,,48.17986823333243,None,d,0.10799950000000536,48.16921550000188,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
30,0,30,0,,,,,,,48.313177233333164,None,d,0.10718809999889345,48.302410100001,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
31,0,31,0,,,,,,,48.44658243333518,None,d,0.10653019999881508,48.437084799999866,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
32,0,32,0,,,,,,,48.58100883333512,None,d,0.11122600000089733,48.57160339999973,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
33,0,33,0,,,,,,,48.72816173333243,None,d,0.11500100000193925,48.71826940000028,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
34,0,34,0,,,,,,,48.87336733333407,None,d,0.09327720000146655,48.86343760000091,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
35,0,35,0,,,,,,,48.99462113333405,None,d,0.11941210000077263,48.985714300000836,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
36,0,36,0,,,,,,,49.141469933333184,None,d,1.087477699998999,49.131016200000886,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
37,0,37,0,,,,,,,50.26049863333222,None,d,0.2267732000000251,50.24978639999972,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
38,0,38,0,,,,,,,50.52722453333311,None,d,0.2057676000003994,50.51644490000035,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
39,0,39,0,,,,,,,50.75399253333356,None,d,0.3370068000003812,50.745574299999134,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
40,0,40,0,,,,,,,51.114403433334274,None,d,0.21545209999749204,51.104931800000486,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
41,0,41,0,,,,,,,51.3546556333354,None,d,0.1451374999996915,51.34576580000066,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
42,0,42,0,,,,,,,51.54097963333382,None,d,1.3680611000017961,51.53119770000194,None,,0.2,001,2020_Oct_16_1658,temp,2020.1.3,None,
