trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,,20.56773270003032,20.56773270003032,space,1.2897859999793582,20.56773270003032,None,,,,,,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
0,0,0,0,,,,,,,21.896308733332745,None,None,21.89025529997889,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
1,0,1,0,,,,,,,26.911325733359746,None,None,26.899843099992722,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
2,0,2,0,,,,,,,31.909509866676913,None,None,31.909991100023035,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
3,0,3,0,,,,,,,36.8850144666542,None,None,36.88607130001765,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
4,0,4,0,,,,,,,41.900442666669065,None,None,41.902703500003554,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
5,0,5,0,,,,,,,46.888305066681156,None,None,46.88929570000619,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
6,0,6,0,,,,,,,51.890357666652804,None,None,51.89225490001263,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
7,0,7,0,,,,,,,56.89246016665517,None,None,56.893732900032774,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
8,0,8,0,,,,,,,61.89429456665336,None,None,61.895706899988,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
9,0,9,0,,,,,,,66.90911036666172,None,None,66.90988049999578,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
10,0,10,0,,,,,,,71.88414216664775,None,None,71.88672060001409,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
11,0,11,0,,,,,,,76.89970316668429,None,None,76.90064680000069,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
12,0,12,0,,,,,,,81.88818136667057,None,None,81.8884173000115,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
13,0,13,0,,,,,,,86.88988816668667,None,None,86.89060729998164,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
14,0,14,0,,,,,,,91.90810073336664,None,None,91.89631819998613,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
15,0,15,0,,,,,,,96.89316206670289,None,None,96.89470439997967,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
16,0,16,0,,,,,,,101.90886936668927,None,None,101.9096881999867,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
17,0,17,0,,,,,,,106.89958786667945,None,None,106.90401519997977,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
18,0,18,0,,,,,,,111.89968546666593,None,None,111.9011244000285,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
19,0,19,0,,,,,,,116.88765856664783,None,None,116.88950659998227,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
20,0,20,0,,,,,,,121.88900016667709,None,None,121.89081940002507,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
21,0,21,0,,,,,,,126.89266486670046,None,u,126.89470519998576,None,4.072251899982803,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
22,0,22,0,,,,,,,131.0024612333587,None,u,130.9938946000184,None,0.25587150000501424,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
23,0,23,0,,,,,,,131.2963368333372,None,u,131.29076689999783,None,0.24893080000765622,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
24,0,24,0,,,,,,,131.57628873334812,None,u,131.5677457000129,None,0.20525989995803684,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
25,0,25,0,,,,,,,131.82949373336356,None,u,131.8221214999794,None,0.18813510000472888,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
26,0,26,0,,,,,,,132.04252753331872,None,u,132.0360354000004,None,0.1463825999526307,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
27,0,27,0,,,,,,,132.23003783333894,None,u,132.22204419999616,None,0.1231821000110358,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
28,0,28,0,,,,,,,132.389891733365,None,u,132.38165870000375,None,0.12812429998302832,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
29,0,29,0,,,,,,,132.56332333334336,None,u,132.55479339999147,None,0.11090660002082586,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
30,0,30,0,,,,,,,132.71047863335895,None,u,132.7036672999966,None,0.11629499995615333,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
31,0,31,0,,,,,,,132.8562938333567,None,u,132.85090520000085,None,0.11755759996594861,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
32,0,32,0,,,,,,,133.00322843332157,None,u,132.99783489998663,None,0.12332400004379451,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
33,0,33,0,,,,,,,133.17759453331433,None,u,133.17471870000008,None,0.10088370001176372,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
34,0,34,0,,,,,,,133.31047513336722,None,u,133.30586020002374,None,0.1162627000012435,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
35,0,35,0,,,,,,,133.45688393334473,None,u,133.45239689998562,None,0.11702440003864467,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
36,0,36,0,,,,,,,133.6044395333234,None,u,133.5982962999842,None,0.16271830000914633,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
37,0,37,0,,,,,,,133.80374863331286,None,u,133.79864350002026,None,0.09523730003274977,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
38,0,38,0,,,,,,,133.93730213336727,None,u,133.94140300003346,None,0.11187149997567758,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
39,0,39,0,,,,,,,134.12847700000276,None,u,134.1322986999876,None,0.08122510003158823,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
40,0,40,0,,,,,,,134.29096126668546,None,u,134.28789289999986,None,0.08548700000392273,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
41,0,41,0,,,,,,,134.43404800003628,None,u,134.42694839998148,None,0.10710600001038983,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
42,0,42,0,,,,,,,134.57701043331377,None,u,134.5789149000193,None,0.11931019998155534,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
43,0,43,0,,,,,,,134.73717253335832,None,u,134.73660559998825,None,0.13173729996196926,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
44,0,44,0,,,,,,,134.91070563335285,None,u,134.90877919999184,None,0.12149709998629987,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
45,0,45,0,,,,,,,135.07104973332804,None,u,135.06817240000237,None,0.12277009995887056,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
