trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,,18.74310759996297,18.74310759996297,space,1.9026784999878146,18.74310759996297,None,,,,,,,,,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
0,0,0,0,,,,,,,20.687919233293115,None,u,2.7695287999813445,20.6858073999756,None,20.6858073999756,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
1,0,1,0,,,,,,,23.48904413329049,None,u,1.0634952000109479,23.491762199962977,None,23.491762199962977,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
2,0,2,0,,,,,,,24.595802933276474,None,u,1.0406737999874167,24.597850999969523,None,24.597850999969523,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
3,0,3,0,,,,,,,25.676275533282507,None,u,0.14884170005097985,25.676537899998948,None,25.676537899998948,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
4,0,4,0,,,,,,,25.862902033325128,None,u,0.14878399996086955,25.863822099985555,None,25.863822099985555,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
5,0,5,0,,,,,,,26.04983583332117,None,u,0.11207609996199608,26.048889499972574,None,26.048889499972574,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
6,0,6,0,,,,,,,26.19737673330431,None,u,0.09039470000425354,26.19639069994446,None,26.19639069994446,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
7,0,7,0,,,,,,,26.331486233285005,None,u,0.11880810000002384,26.33320699998876,None,26.33320699998876,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
8,0,8,0,,,,,,,26.504571333302493,None,u,0.07208620000164956,26.505951699975412,None,26.505951699975412,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
9,0,9,0,,,,,,,26.611739833323128,None,u,0.09895780001534149,26.613464800000656,None,26.613464800000656,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
10,0,10,0,,,,,,,26.744851333329763,None,u,0.1122112000011839,26.745708099973854,None,26.745708099973854,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
11,0,11,0,,,,,,,26.905098833326093,None,u,0.08947539998916909,26.905243599961977,None,26.905243599961977,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
