trials.thisTrialN,trials.stepSize,trials.intensity,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,key_resp.started,key_resp.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,27.77180240000598,27.77180240000598,space,2.6816353000467643,27.77180240000598,None,,,,,,0.2,001,2020_Oct_19_1344,temp,2020.1.3,None,
0,0.8,0.5,,,,,,,30.486750866639582,None,30.48336269997526,None,,0.2,001,2020_Oct_19_1344,temp,2020.1.3,None,
1,0.8,0.5,,,,,,,31.767310266619702,None,31.763873099989723,None,,0.2,001,2020_Oct_19_1344,temp,2020.1.3,None,
2,0.8,0.5,,,,,,,32.70103076665352,None,32.69731739995768,None,,0.2,001,2020_Oct_19_1344,temp,2020.1.3,None,
3,0.8,0.5,,,,,,,33.327667766662,None,33.32433779997518,None,,0.2,001,2020_Oct_19_1344,temp,2020.1.3,None,
4,0.8,0.5,,,,,,,33.79407626664421,None,33.79184969997732,None,,0.2,001,2020_Oct_19_1344,temp,2020.1.3,None,
5,0.8,0.5,,,,,,,34.26112416666389,None,34.2578050000011,None,,0.2,001,2020_Oct_19_1344,temp,2020.1.3,None,
6,0.8,0.5,,,,,,,34.44790976663741,None,34.445247899973765,None,,0.2,001,2020_Oct_19_1344,temp,2020.1.3,None,
7,0.8,0.5,,,,,,,34.5820332666665,None,34.57887460000347,None,,0.2,001,2020_Oct_19_1344,temp,2020.1.3,None,
8,0.8,0.5,,,,,,,34.716921066636374,None,34.71134709997568,None,,0.2,001,2020_Oct_19_1344,temp,2020.1.3,None,
