trials.thisTrialN,trials.stepSize,trials.intensity,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,15.363340799987782,15.363340799987782,space,2.2295503999921493,15.363340799987782,None,,,,,,,,,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
0,0.8,0.5,,,,,,,17.613763566656658,None,0,0.6150042000226676,17.61500220000744,None,17.61500220000744,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
1,0.8,1,,,,,,,18.253986166677592,None,1,2.047733299958054,18.250374700000975,None,18.250374700000975,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
2,0.8,0.15848931924611132,,,,,,,20.32104166667365,None,1,0.4364354999852367,20.324631399998907,None,20.324631399998907,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
3,0.8,0.02511886431509579,,,,,,,20.788071466671923,None,1,1.1814242999535054,20.786387700005434,None,20.786387700005434,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
4,0.8,0.00398107170553497,,,,,,,21.988626366659688,None,1,0.5113546999637038,21.985334400029387,None,21.985334400029387,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
5,0.8,0.0006309573444801928,,,,,,,22.52179026668115,None,1,0.4638151000253856,22.518650499987416,None,22.518650499987416,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
6,0.8,9.999999999999991e-05,,,,,,,23.002408066651938,None,1,0.5687015000148676,23.00026900001103,None,23.00026900001103,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
7,0.4,1.5848931924611118e-05,,,,,,,23.589269766646126,None,0,2.017205400043167,23.586681000015233,None,23.586681000015233,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
8,0.4,3.981071705534968e-05,,,,,,,25.629881666686074,None,0,0.48437289998400956,25.626794299983885,None,25.626794299983885,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
9,0.4,9.99999999999999e-05,,,,,,,26.136740166639598,None,0,0.3920242000021972,26.13390050001908,None,26.13390050001908,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
10,0.4,0.00025118864315095774,,,,,,,26.550157866677424,None,0,0.43025729997316375,26.54713969997829,None,26.54713969997829,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
11,0.4,0.0006309573444801926,,,,,,,27.00382906664551,None,0,0.42461639997782186,27.000836300023366,None,27.000836300023366,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
12,0.4,0.0015848931924611117,,,,,,,27.444062266677307,None,0,0.3589001999935135,27.453683300002012,None,27.453683300002012,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
13,0.4,0.003981071705534968,,,,,,,27.831625566647077,None,0,0.16810910002095625,27.8283694999991,None,27.8283694999991,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
14,0.4,0.00999999999999999,,,,,,,28.017448466682495,None,0,0.14317019999725744,28.013999800023157,None,28.013999800023157,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
15,0.4,0.025118864315095777,,,,,,,28.177399166688943,None,0,0.14178380003431812,28.174104399979115,None,28.174104399979115,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
16,0.4,0.06309573444801926,,,,,,,28.353050166686685,None,0,0.11270470003364608,28.350427100027446,None,28.350427100027446,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
17,0.4,0.15848931924611118,,,,,,,28.48430196667711,None,0,0.14171990001341328,28.4808707999764,None,28.4808707999764,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
18,0.4,0.3981071705534968,,,,,,,28.64448136667876,None,0,0.12261750001925975,28.643243200029247,None,28.643243200029247,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
19,0.4,0.9999999999999989,,,,,,,28.79101746669427,None,0,0.12517219997243956,28.80136370001128,None,28.80136370001128,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
20,0.4,1,,,,,,,28.95172166667568,None,0,0.12653960002353415,28.94994720001705,None,28.94994720001705,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
21,0.4,1,,,,,,,29.098078366663927,None,0,0.13063719996716827,29.094360399991274,None,29.094360399991274,None,,0.2,001,2020_Oct_19_1347,temp,2020.1.3,None,
