trials.thisTrialN,trials.stepSize,trials.intensity,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,18.058918299968354,None,space,1.2424269000184722,18.058918299968354,None,,,,,,,,,,,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
0,0.8,0.1,,,,,,,19.321952566624773,None,0,5.3319262999575585,19.32404159998987,None,19.32404159998987,None,19.32404159998987,None,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
1,0.8,0.6309573444801934,,,,,,,24.700738833293627,None,0,3.194769499998074,24.690846599987708,None,24.690846599987708,None,24.690846599987708,None,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
2,0.8,1,,,,,,,27.911377666638387,None,1,1.499070199963171,27.907988099963404,None,27.907988099963404,None,27.907988099963404,None,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
3,0.4,0.15848931924611132,,,,,,,29.44551516662274,None,0,1.6925399000174366,29.443417299946304,None,29.443417299946304,None,29.443417299946304,None,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
4,0.4,0.39810717055349715,,,,,,,31.153013666629946,None,0,1.6496829999960028,31.15010909998091,None,31.15010909998091,None,31.15010909998091,None,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
5,0.4,0.9999999999999998,,,,,,,32.820212066643094,None,1,1.9685168000287376,32.816973299952224,None,32.816973299952224,None,32.816973299952224,None,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
6,0.2,0.39810717055349715,,,,,,,34.807758166633235,None,0,1.1517403000034392,34.80554899998242,None,34.80554899998242,None,34.80554899998242,None,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
7,0.2,0.6309573444801931,,,,,,,35.981322466632506,None,0,3.1232559999916703,35.97794159996556,None,35.97794159996556,None,35.97794159996556,None,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
8,0.2,0.9999999999999999,,,,,,,39.12890396663376,None,1,1.1297479000058956,39.127658499986865,None,39.127658499986865,None,39.127658499986865,None,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
9,0.2,0.6309573444801931,,,,,,,40.276414866621295,None,0,1.130962100054603,40.272550699999556,None,40.272550699999556,None,40.272550699999556,None,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
10,0.2,0.9999999999999999,,,,,,,41.42292476661193,None,1,1.1992792999953963,41.43318039999576,None,41.43318039999576,None,41.43318039999576,None,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
11,0.2,0.6309573444801931,,,,,,,42.663760666622935,None,0,0.9426181999733672,42.6617499999702,None,42.6617499999702,None,42.6617499999702,None,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
12,0.2,0.9999999999999999,,,,,,,43.62365186663034,None,1,1.0758396000019275,43.62047959998017,None,43.62047959998017,None,43.62047959998017,None,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
13,0.2,0.6309573444801931,,,,,,,44.73123636661718,None,0,1.4621689999476075,44.74022999999579,None,44.74022999999579,None,44.74022999999579,None,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
14,0.2,0.9999999999999999,,,,,,,46.22481306665965,None,1,1.5291692999890074,46.22183029999724,None,46.22183029999724,None,46.22183029999724,None,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
15,0.2,0.6309573444801931,,,,,,,47.772117466611476,None,0,1.8328319999855012,47.769127399951685,None,47.769127399951685,None,47.769127399951685,None,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
16,0.2,0.9999999999999999,,,,,,,49.626008366645934,None,1,2.197155300003942,49.623034699994605,None,49.623034699994605,None,49.623034699994605,None,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
17,0.2,0.6309573444801931,,,,,,,51.84046856663578,None,0,2.730571600026451,51.837408699968364,None,51.837408699968364,None,51.837408699968364,None,,0.2,001,2020_Oct_19_1510,temp,2020.1.3,None,
