trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,text_2.started,text_2.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,space,6.0123044999782,21.25735099997837,None,,,,,,,,,,,,,,,,0.2,001,2020_Oct_19_1519,temp,2020.1.3,None,
0,0.8,0.1,,,,,21.25735099997837,None,21.25735099997837,22.25389350001933,27.28610366664749,None,0,6.465058900008444,27.28402969997842,None,27.28402969997842,None,27.28402969997842,None,,0.2,001,2020_Oct_19_1519,temp,2020.1.3,None,
1,0.8,0.6309573444801934,,,,,,,,,33.785665533338516,None,0,1.0726140000042506,33.77487379999366,None,33.77487379999366,None,33.77487379999366,None,,0.2,001,2020_Oct_19_1519,temp,2020.1.3,None,
2,0.8,1,,,,,,,,,34.862268766683215,None,0,0.7334444000152871,34.858593499986455,None,34.858593499986455,None,34.858593499986455,None,,0.2,001,2020_Oct_19_1519,temp,2020.1.3,None,
3,0.8,1,,,,,,,,,35.60910196666761,None,1,3.7489437999902293,35.60553910001181,None,35.60553910001181,None,35.60553910001181,None,,0.2,001,2020_Oct_19_1519,temp,2020.1.3,None,
4,0.4,0.15848931924611132,,,,,,,,,39.37044986663774,None,0,1.8176402000244707,39.368864300020505,None,39.368864300020505,None,39.368864300020505,None,,0.2,001,2020_Oct_19_1519,temp,2020.1.3,None,
5,0.4,0.39810717055349715,,,,,,,,,41.21143256663733,None,0,1.3864700999693014,41.209141800005455,None,41.209141800005455,None,41.209141800005455,None,,0.2,001,2020_Oct_19_1519,temp,2020.1.3,None,
6,0.4,0.9999999999999998,,,,,,,,,42.62476226664536,None,0,1.5256262999610044,42.62191689998144,None,42.62191689998144,None,42.62191689998144,None,,0.2,001,2020_Oct_19_1519,temp,2020.1.3,None,
7,0.4,1,,,,,,,,,44.17215066665473,None,1,1.1370285000302829,44.16886999999406,None,44.16886999999406,None,44.16886999999406,None,,0.2,001,2020_Oct_19_1519,temp,2020.1.3,None,
8,0.4,0.39810717055349726,,,,,,,,,45.33265776664872,None,1,1.4002608999726363,45.329502400010824,None,45.329502400010824,None,45.329502400010824,None,,0.2,001,2020_Oct_19_1519,temp,2020.1.3,None,
9,0.2,0.15848931924611134,,,,,,,,,46.7467200666472,None,0,29.570372899994254,46.74329499999294,None,46.74329499999294,None,46.74329499999294,None,,0.2,001,2020_Oct_19_1519,temp,2020.1.3,None,
10,0.2,0.251188643150958,,,,,,,,,76.33079746668615,None,0,0.3552265999605879,76.34050450002542,None,76.34050450002542,None,76.34050450002542,None,,0.2,001,2020_Oct_19_1519,temp,2020.1.3,None,
11,0.2,0.39810717055349726,,,,,,,,,76.71719566669005,None,0,0.2571429999661632,76.71557200001553,None,76.71557200001553,None,76.71557200001553,None,,0.2,001,2020_Oct_19_1519,temp,2020.1.3,None,
12,0.2,0.6309573444801934,,,,,,,,,76.99763586669384,None,1,5.170504899986554,77.00749559997348,None,77.00749559997348,None,77.00749559997348,None,,0.2,001,2020_Oct_19_1519,temp,2020.1.3,None,
13,0.2,0.3981071705534973,,,,,,,,,82.19909546664373,None,0,0.7962418000097387,82.19630359997973,None,82.19630359997973,None,82.19630359997973,None,,0.2,001,2020_Oct_19_1519,temp,2020.1.3,None,
14,0.2,0.6309573444801934,,,,,,,,,83.0128195666514,None,0,2.8440809000167064,83.01003629999468,None,83.01003629999468,None,83.01003629999468,None,,0.2,001,2020_Oct_19_1519,temp,2020.1.3,None,
15,0.2,1,,,,,,,,,85.88072986668364,None,1,0.672534299956169,85.8776120999828,None,85.8776120999828,None,85.8776120999828,None,,0.2,001,2020_Oct_19_1519,temp,2020.1.3,None,
